,Year,Nbr of Crimes,Neighborhood
0,2000,3438.0,Battery Park
1,2000,3438.0,Tribeca
2,2001,3069.0,Battery Park
3,2001,3069.0,Tribeca
4,2002,2715.0,Battery Park
5,2002,2715.0,Tribeca
6,2003,2649.0,Battery Park
7,2003,2649.0,Tribeca
8,2004,2383.0,Battery Park
9,2004,2383.0,Tribeca
10,2005,2305.0,Battery Park
11,2005,2305.0,Tribeca
12,2006,2013.0,Battery Park
13,2006,2013.0,Tribeca
14,2007,1914.0,Battery Park
15,2007,1914.0,Tribeca
16,2008,1708.0,Battery Park
17,2008,1708.0,Tribeca
18,2009,1578.0,Battery Park
19,2009,1578.0,Tribeca
20,2010,1445.0,Battery Park
21,2010,1445.0,Tribeca
22,2011,1402.0,Battery Park
23,2011,1402.0,Tribeca
24,2012,1416.0,Battery Park
25,2012,1416.0,Tribeca
26,2013,1416.0,Battery Park
27,2013,1416.0,Tribeca
28,2014,1208.0,Battery Park
29,2014,1208.0,Tribeca
30,2015,1446.0,Battery Park
31,2015,1446.0,Tribeca
32,2016,1395.0,Battery Park
33,2016,1395.0,Tribeca
34,2017,1337.0,Battery Park
35,2017,1337.0,Tribeca
36,2018,1356.0,Battery Park
37,2018,1356.0,Tribeca
38,2000,1780.0,Lower East Side
39,2000,1780.0,Chinatown
40,2001,1458.0,Lower East Side
41,2001,1458.0,Chinatown
42,2002,1309.0,Lower East Side
43,2002,1309.0,Chinatown
44,2003,1231.0,Lower East Side
45,2003,1231.0,Chinatown
46,2004,1170.0,Lower East Side
47,2004,1170.0,Chinatown
48,2005,1131.0,Lower East Side
49,2005,1131.0,Chinatown
50,2006,1040.0,Lower East Side
51,2006,1040.0,Chinatown
52,2007,1031.0,Lower East Side
53,2007,1031.0,Chinatown
54,2008,1029.0,Lower East Side
55,2008,1029.0,Chinatown
56,2009,975.0,Lower East Side
57,2009,975.0,Chinatown
58,2010,969.0,Lower East Side
59,2010,969.0,Chinatown
60,2011,962.0,Lower East Side
61,2011,962.0,Chinatown
62,2012,1001.0,Lower East Side
63,2012,1001.0,Chinatown
64,2013,980.0,Lower East Side
65,2013,980.0,Chinatown
66,2014,870.0,Lower East Side
67,2014,870.0,Chinatown
68,2015,917.0,Lower East Side
69,2015,917.0,Chinatown
70,2016,899.0,Lower East Side
71,2016,899.0,Chinatown
72,2017,889.0,Lower East Side
73,2017,889.0,Chinatown
74,2018,897.0,Lower East Side
75,2018,897.0,Chinatown
76,2000,2387.0,Greenwich Village
77,2000,2387.0,Soho
78,2001,2141.0,Greenwich Village
79,2001,2141.0,Soho
80,2002,2059.0,Greenwich Village
81,2002,2059.0,Soho
82,2003,2068.0,Greenwich Village
83,2003,2068.0,Soho
84,2004,2174.0,Greenwich Village
85,2004,2174.0,Soho
86,2005,2055.0,Greenwich Village
87,2005,2055.0,Soho
88,2006,1979.0,Greenwich Village
89,2006,1979.0,Soho
90,2007,1837.0,Greenwich Village
91,2007,1837.0,Soho
92,2008,1738.0,Greenwich Village
93,2008,1738.0,Soho
94,2009,1633.0,Greenwich Village
95,2009,1633.0,Soho
96,2010,1530.0,Greenwich Village
97,2010,1530.0,Soho
98,2011,1504.0,Greenwich Village
99,2011,1504.0,Soho
100,2012,1574.0,Greenwich Village
101,2012,1574.0,Soho
102,2013,1703.0,Greenwich Village
103,2013,1703.0,Soho
104,2014,1575.0,Greenwich Village
105,2014,1575.0,Soho
106,2015,1521.0,Greenwich Village
107,2015,1521.0,Soho
108,2016,1388.0,Greenwich Village
109,2016,1388.0,Soho
110,2017,1432.0,Greenwich Village
111,2017,1432.0,Soho
112,2018,1517.0,Greenwich Village
113,2018,1517.0,Soho
114,2000,990.0,Lower East Side
115,2000,990.0,Chinatown
116,2001,892.0,Lower East Side
117,2001,892.0,Chinatown
118,2002,908.0,Lower East Side
119,2002,908.0,Chinatown
120,2003,864.0,Lower East Side
121,2003,864.0,Chinatown
122,2004,857.0,Lower East Side
123,2004,857.0,Chinatown
124,2005,804.0,Lower East Side
125,2005,804.0,Chinatown
126,2006,864.0,Lower East Side
127,2006,864.0,Chinatown
128,2007,856.0,Lower East Side
129,2007,856.0,Chinatown
130,2008,807.0,Lower East Side
131,2008,807.0,Chinatown
132,2009,702.0,Lower East Side
133,2009,702.0,Chinatown
134,2010,702.0,Lower East Side
135,2010,702.0,Chinatown
136,2011,704.0,Lower East Side
137,2011,704.0,Chinatown
138,2012,762.0,Lower East Side
139,2012,762.0,Chinatown
140,2013,711.0,Lower East Side
141,2013,711.0,Chinatown
142,2014,732.0,Lower East Side
143,2014,732.0,Chinatown
144,2015,781.0,Lower East Side
145,2015,781.0,Chinatown
146,2016,823.0,Lower East Side
147,2016,823.0,Chinatown
148,2017,865.0,Lower East Side
149,2017,865.0,Chinatown
150,2018,919.0,Lower East Side
151,2018,919.0,Chinatown
152,2000,2115.0,Lower East Side
153,2000,2115.0,Chinatown
154,2001,1672.0,Lower East Side
155,2001,1672.0,Chinatown
156,2002,1809.0,Lower East Side
157,2002,1809.0,Chinatown
158,2003,1801.0,Lower East Side
159,2003,1801.0,Chinatown
160,2004,1747.0,Lower East Side
161,2004,1747.0,Chinatown
162,2005,1664.0,Lower East Side
163,2005,1664.0,Chinatown
164,2006,1579.0,Lower East Side
165,2006,1579.0,Chinatown
166,2007,1519.0,Lower East Side
167,2007,1519.0,Chinatown
168,2008,1495.0,Lower East Side
169,2008,1495.0,Chinatown
170,2009,1523.0,Lower East Side
171,2009,1523.0,Chinatown
172,2010,1387.0,Lower East Side
173,2010,1387.0,Chinatown
174,2011,1350.0,Lower East Side
175,2011,1350.0,Chinatown
176,2012,1419.0,Lower East Side
177,2012,1419.0,Chinatown
178,2013,1424.0,Lower East Side
179,2013,1424.0,Chinatown
180,2014,1331.0,Lower East Side
181,2014,1331.0,Chinatown
182,2015,1337.0,Lower East Side
183,2015,1337.0,Chinatown
184,2016,1463.0,Lower East Side
185,2016,1463.0,Chinatown
186,2017,1300.0,Lower East Side
187,2017,1300.0,Chinatown
188,2018,1302.0,Lower East Side
189,2018,1302.0,Chinatown
190,2000,1398.0,Chelsea
191,2000,1398.0,Clinton
192,2001,877.0,Chelsea
193,2001,877.0,Clinton
194,2002,831.0,Chelsea
195,2002,831.0,Clinton
196,2003,1436.0,Chelsea
197,2003,1436.0,Clinton
198,2004,1466.0,Chelsea
199,2004,1466.0,Clinton
200,2005,1418.0,Chelsea
201,2005,1418.0,Clinton
202,2006,1469.0,Chelsea
203,2006,1469.0,Clinton
204,2007,1326.0,Chelsea
205,2007,1326.0,Clinton
206,2008,1321.0,Chelsea
207,2008,1321.0,Clinton
208,2009,1133.0,Chelsea
209,2009,1133.0,Clinton
210,2010,1049.0,Chelsea
211,2010,1049.0,Clinton
212,2011,1037.0,Chelsea
213,2011,1037.0,Clinton
214,2012,1088.0,Chelsea
215,2012,1088.0,Clinton
216,2013,1123.0,Chelsea
217,2013,1123.0,Clinton
218,2014,1022.0,Chelsea
219,2014,1022.0,Clinton
220,2015,1061.0,Chelsea
221,2015,1061.0,Clinton
222,2016,1032.0,Chelsea
223,2016,1032.0,Clinton
224,2017,981.0,Chelsea
225,2017,981.0,Clinton
226,2018,1046.0,Chelsea
227,2018,1046.0,Clinton
228,2000,3317.0,Stuyvesant Town
229,2000,3317.0,Turtle Bay
230,2001,3054.0,Stuyvesant Town
231,2001,3054.0,Turtle Bay
232,2002,3145.0,Stuyvesant Town
233,2002,3145.0,Turtle Bay
234,2003,3031.0,Stuyvesant Town
235,2003,3031.0,Turtle Bay
236,2004,3071.0,Stuyvesant Town
237,2004,3071.0,Turtle Bay
238,2005,2812.0,Stuyvesant Town
239,2005,2812.0,Turtle Bay
240,2006,2716.0,Stuyvesant Town
241,2006,2716.0,Turtle Bay
242,2007,2540.0,Stuyvesant Town
243,2007,2540.0,Turtle Bay
244,2008,2518.0,Stuyvesant Town
245,2008,2518.0,Turtle Bay
246,2009,2389.0,Stuyvesant Town
247,2009,2389.0,Turtle Bay
248,2010,2136.0,Stuyvesant Town
249,2010,2136.0,Turtle Bay
250,2011,2044.0,Stuyvesant Town
251,2011,2044.0,Turtle Bay
252,2012,2022.0,Stuyvesant Town
253,2012,2022.0,Turtle Bay
254,2013,2152.0,Stuyvesant Town
255,2013,2152.0,Turtle Bay
