,crime_rank,income_rank,sales_rank,dev_rank,opp_zone,eq_weight_score,weights_by_completeness,weights_by_reliability
ASTORIA,43.0,165.0,86.0,112.0,1.0,0.5942,0.5282,0.5304
BATHBEACH,109.0,124.5,94.0,47.0,0.0,0.3636,0.3054,0.2819
GRAVESEND,109.0,84.0,110.0,115.5,1.0,0.6063,0.5581,0.5259
FINANCIAL,60.5,137.0,11.0,160.0,0.0,0.3578,0.311,0.2863
SOUTHBRIDGE,60.5,16.0,16.0,133.5,0.0,0.2194,0.209,0.174
BAYRIDGE,140.0,75.5,142.0,72.0,1.0,0.617,0.5649,0.5274
BAYSIDE,94.0,61.0,141.0,106.0,0.0,0.3903,0.3452,0.3225
DOUGLASTON,94.0,177.5,136.0,176.0,0.0,0.5665,0.4864,0.4693
LITTLENECK,94.0,172.0,149.0,29.0,0.0,0.4311,0.3507,0.3492
OAKLANDGARDENS,94.0,70.0,117.0,15.0,0.0,0.2874,0.2432,0.2267
BEDFORDPARK/NORWOOD,81.0,131.5,159.0,132.0,0.0,0.4888,0.42,0.4112
BEDFORDSTUYVESANT,158.0,188.0,58.0,146.0,0.0,0.534,0.4594,0.4066
BELMONT,169.5,156.5,56.0,94.0,1.0,0.6621,0.5969,0.5403
BENSONHURST,109.0,80.5,145.0,96.0,1.0,0.618,0.5655,0.5401
BOROUGHPARK,94.0,135.5,129.0,10.0,0.0,0.3578,0.2916,0.2849
BRIGHTONBEACH,180.5,154.5,40.0,70.0,0.0,0.432,0.3693,0.3076
MANHATTANBEACH,180.5,119.0,61.0,137.0,0.0,0.483,0.428,0.359
SEAGATE,180.5,96.5,127.0,117.0,0.0,0.5058,0.4475,0.3881
BROOKLYNHEIGHTS,7.5,51.0,100.0,100.0,0.0,0.251,0.2196,0.2277
BROOKLYN-UNKNOWN,7.5,142.5,202.0,25.0,0.0,0.366,0.291,0.3323
COBBLEHILL,7.5,36.0,26.0,111.0,0.0,0.1752,0.1598,0.1538
COBBLEHILL-WEST,7.5,50.0,25.0,179.0,0.0,0.2539,0.2343,0.2232
DOWNTOWN-FULTONFERRY,7.5,27.0,189.0,71.0,0.0,0.2859,0.2483,0.2701
DOWNTOWN-METROTECH,7.5,31.0,194.0,68.0,1.0,0.4917,0.4521,0.4755
BROWNSVILLE,74.5,193.0,43.0,171.0,1.0,0.6675,0.5979,0.5772
BUSHWICK,109.0,176.0,46.0,83.0,0.0,0.4019,0.3354,0.3068
WYCKOFFHEIGHTS,109.0,206.0,17.0,163.0,0.0,0.4806,0.4092,0.3718
CANARSIE,155.0,124.5,115.0,167.0,0.0,0.5451,0.4814,0.4295
CARROLLGARDENS,194.0,49.0,78.0,184.0,0.0,0.4903,0.4534,0.3687
BOERUMHILL,194.0,41.0,151.0,9.0,0.0,0.3835,0.3379,0.2805
GOWANUS,194.0,105.5,148.0,128.0,1.0,0.7587,0.6938,0.6317
REDHOOK,194.0,133.5,200.0,11.0,1.0,0.7228,0.6413,0.6017
HARLEM-CENTRAL,152.0,17.0,44.0,75.0,1.0,0.4796,0.4599,0.3952
CHELSEA,199.5,146.5,139.0,157.0,0.0,0.6233,0.5469,0.4828
FLATIRON,199.5,2.0,9.0,87.0,0.0,0.2888,0.2766,0.1832
MADISON,199.5,153.0,186.0,159.0,0.0,0.6772,0.5916,0.5352
CHINATOWN,102.5,30.0,37.0,39.0,0.0,0.2024,0.1823,0.1431
CLINTON,199.5,204.0,14.0,158.0,0.0,0.5587,0.4839,0.4069
CO-OPCITY,77.0,59.5,197.0,168.0,1.0,0.6869,0.6345,0.6217
MELROSE/CONCOURSE,150.5,64.5,89.0,40.0,1.0,0.534,0.4929,0.4445
CONEYISLAND,180.5,110.5,13.0,16.0,1.0,0.5107,0.4656,0.4
CROWNHEIGHTS,162.0,146.5,71.0,91.0,1.0,0.6568,0.5927,0.5409
DYKERHEIGHTS,140.0,73.5,116.0,55.0,0.0,0.3733,0.3258,0.2857
FLATBUSH-EAST,102.5,190.0,73.0,67.0,1.0,0.6199,0.5452,0.5267
HARLEM-EAST,34.0,21.0,97.0,86.0,1.0,0.4311,0.408,0.4021
EASTNEWYORK,89.0,195.0,108.0,115.5,1.0,0.6927,0.6118,0.6004
SPRINGCREEK,89.0,151.5,201.0,31.0,0.0,0.4587,0.3769,0.3831
EASTTREMONT,169.5,197.0,75.0,113.5,1.0,0.7388,0.6583,0.6073
WILLIAMSBURG-EAST,117.0,203.0,36.0,110.0,1.0,0.6524,0.5787,0.5455
MASPETH,117.0,167.0,173.0,183.0,0.0,0.6214,0.5377,0.5144
NAVYYARD,117.0,186.5,160.0,185.0,0.0,0.6296,0.5419,0.5186
WILLIAMSBURG-CENTRAL,117.0,201.0,138.0,69.0,1.0,0.7097,0.621,0.6072
WILLIAMSBURG-NORTH,117.0,124.5,12.0,58.5,1.0,0.5029,0.4569,0.4163
WILLIAMSBURG-SOUTH,117.0,179.0,28.0,81.0,1.0,0.5932,0.5281,0.4938
ELMHURST,14.5,129.5,182.0,27.5,0.0,0.3432,0.2749,0.3083
EASTELMHURST,14.5,199.0,172.0,24.0,0.0,0.3976,0.3095,0.3496
FLATBUSH-CENTRAL,144.0,113.0,42.0,153.0,1.0,0.6388,0.5904,0.5321
FLATBUSH-NORTH,144.0,189.0,31.0,151.0,1.0,0.7,0.6299,0.5787
FLATLANDS,155.0,140.0,92.0,20.0,0.0,0.3951,0.3302,0.2908
BERGENBEACH,155.0,121.0,120.0,37.0,0.0,0.4204,0.357,0.3181
MILLBASIN,155.0,156.5,52.0,177.0,0.0,0.5248,0.4609,0.4019
OLDMILLBASIN,155.0,184.5,170.0,74.0,0.0,0.5665,0.476,0.4483
FLUSHING-NORTH,14.5,103.5,47.0,141.5,1.0,0.4976,0.4579,0.4567
BEECHHURST,14.5,54.0,111.0,120.0,0.0,0.2908,0.2565,0.2616
COLLEGEPOINT,14.5,100.0,179.0,126.0,1.0,0.6073,0.5484,0.5686
FLUSHING-SOUTH,14.5,191.0,65.0,65.0,1.0,0.5257,0.4565,0.4753
FLUSHINGMEADOWPARK,14.5,90.0,64.0,44.0,0.0,0.2063,0.1682,0.1775
WHITESTONE,14.5,67.0,135.0,133.5,0.0,0.3398,0.2978,0.3068
FORDHAM,148.0,183.0,23.0,89.0,1.0,0.6301,0.5629,0.5141
CROTONAPARK,148.0,171.0,158.0,62.0,1.0,0.7233,0.6391,0.6122
FIELDSTON,148.0,32.0,91.0,51.0,0.0,0.3126,0.2813,0.2296
FORESTHILLS,25.5,107.5,59.0,122.0,0.0,0.3049,0.2615,0.2598
BRIARWOOD,25.5,86.5,152.0,36.0,0.0,0.2913,0.2401,0.2586
MIDDLEVILLAGE,25.5,131.5,121.0,46.0,0.0,0.3146,0.2544,0.2722
REGOPARK,25.5,169.5,193.0,162.0,1.0,0.734,0.6511,0.673
FORTGREENE,117.0,55.5,21.0,174.0,1.0,0.5568,0.5306,0.4723
CLINTONHILL,117.0,88.5,20.0,127.0,0.0,0.3422,0.3061,0.2559
DOWNTOWN-FULTONMALL,117.0,28.0,8.0,79.0,0.0,0.2252,0.2095,0.1553
GERRITSENBEACH,137.0,110.5,177.0,56.0,0.0,0.4665,0.3985,0.3731
GREENPOINT,122.0,200.0,55.0,108.0,1.0,0.6709,0.5949,0.5623
GREENWICHVILLAGE-CENTRAL,67.5,14.0,35.0,3.0,0.0,0.116,0.1029,0.0802
GREENWICHVILLAGE-WEST,67.5,3.0,51.0,107.0,0.0,0.2218,0.2097,0.1781
HARLEM-UPPER,43.0,35.0,10.0,161.0,1.0,0.4417,0.4273,0.3984
HIGHBRIDGE/MORRISHEIGHTS,150.5,167.0,84.0,101.0,1.0,0.6879,0.6161,0.5726
HUNTSPOINT,129.0,140.0,39.0,50.0,1.0,0.5476,0.4921,0.4529
CASTLEHILL/UNIONPORT,129.0,117.0,57.0,105.0,0.0,0.3961,0.3449,0.3006
INWOOD,98.0,12.0,88.0,18.0,1.0,0.4097,0.3875,0.3581
JACKSONHEIGHTS,83.0,159.0,153.0,73.0,1.0,0.6544,0.5779,0.5761
AIRPORTLAGUARDIA,83.0,169.5,192.0,6.0,0.0,0.4374,0.3517,0.3636
CORONA,83.0,173.0,137.0,145.0,1.0,0.7223,0.644,0.6344
JAMAICA,174.5,144.0,131.0,92.0,1.0,0.7257,0.6526,0.6041
HILLCREST,174.5,117.0,133.0,41.0,0.0,0.4519,0.3868,0.3405
JAMAICAESTATES,174.5,129.5,29.0,38.0,1.0,0.5602,0.5071,0.4467
JAMAICAHILLS,174.5,117.0,154.0,8.0,1.0,0.6403,0.5719,0.5321
KINGSBRIDGEHTS/UNIVHTS,54.0,161.0,63.0,129.0,0.0,0.3951,0.3334,0.3251
BRONX-UNKNOWN,43.0,174.0,198.0,109.0,0.0,0.5087,0.4228,0.4435
BATHGATE,43.0,181.5,24.0,118.0,0.0,0.3558,0.2943,0.2883
BAYCHESTER,43.0,124.5,156.0,123.0,0.0,0.4335,0.3692,0.3765
BRONXPARK,43.0,164.0,4.0,17.0,0.0,0.2214,0.1683,0.167
PELHAMGARDENS,43.0,64.5,196.0,82.0,0.0,0.3743,0.3223,0.3329
LONGISLANDCITY,86.0,202.0,103.0,84.0,0.0,0.4612,0.379,0.372
SUNNYSIDE,86.0,175.0,68.0,76.0,1.0,0.5932,0.5247,0.5101
WOODSIDE,86.0,177.5,93.0,155.0,0.0,0.4966,0.4235,0.4053
MORRISANIA/LONGWOOD,129.0,150.0,95.0,166.0,1.0,0.7243,0.6571,0.6164
LOWEREASTSIDE,102.5,11.0,60.0,42.0,0.0,0.2092,0.1914,0.1533
EASTRIVER,102.5,103.5,124.0,178.0,0.0,0.4932,0.4372,0.4061
EASTVILLAGE,102.5,15.0,49.0,139.0,0.0,0.2966,0.2793,0.2304
LITTLEITALY,102.5,33.0,33.0,77.0,0.0,0.2383,0.2179,0.1747
HARLEM-WEST,43.0,63.0,74.0,43.0,0.0,0.2165,0.1836,0.1792
MANHATTANVALLEY,43.0,24.0,69.0,144.0,0.0,0.2718,0.2517,0.2323
MORNINGSIDEHEIGHTS,43.0,62.0,195.0,48.0,0.0,0.3379,0.2868,0.3003
