Year,Neighborhood,Average_Income
2004,1021,115.13399374348279
2004,1026,177.3293408158137
2004,3004,34.518525460793505
2004,3019,42.13266267123288
2004,AIRPORT JFK,43.161189736827176
2004,AIRPORT LA GUARDIA,35.58401461960181
2004,ALPHABET CITY,110.34115415736987
2004,ARVERNE,32.8008425816622
2004,ASTORIA,45.17741526243497
2004,BATH BEACH,43.135864728798445
2004,BATHGATE,22.591684851375565
2004,BAY RIDGE,46.069116284358145
2004,BAYCHESTER,30.939828313988546
2004,BAYSIDE,40.34424979669415
2004,BEDFORD PARK/NORWOOD,30.652119341265674
2004,BEDFORD STUYVESANT,32.27613543277299
2004,BEECHHURST,47.38865029866427
2004,BELLE HARBOR,46.476011595623866
2004,BELLEROSE,47.255932351053886
2004,BELMONT,28.019452274680347
2004,BENSONHURST,40.99020648820973
2004,BERGEN BEACH,43.900255408504535
2004,BOERUM HILL,62.65340045852556
2004,BOROUGH PARK,38.10358066992611
2004,BREEZY POINT,70.27186761229315
2004,BRIARWOOD,38.28992924556789
2004,BRIGHTON BEACH,42.87491754874095
2004,BROAD CHANNEL,37.75388998465922
2004,BRONX PARK,27.69653650168303
2004,BRONX-UNKNOWN,24.97078658966764
2004,BRONXDALE,34.397987962866786
2004,BROOKLYN HEIGHTS,59.11833624846591
2004,BROOKLYN-UNKNOWN,41.18205915321022
2004,BROWNSVILLE,33.84297607188911
2004,BUSH TERMINAL,35.90328328033889
2004,BUSHWICK,35.62437470617581
2004,CAMBRIA HEIGHTS,35.221232915616035
2004,CANARSIE,33.858010238652675
2004,CARROLL GARDENS,60.09399103275023
2004,CASTLE HILL/UNIONPORT,27.844346006302473
2004,CHELSEA,266.3531124831362
2004,CHINATOWN,108.17860096708951
2004,CITY ISLAND,45.072069181321275
2004,CITY ISLAND-PELHAM STRIP,104.23314943625246
2004,CIVIC CENTER,330.2294384489488
2004,CLINTON,208.3884630840392
2004,CLINTON HILL,39.75812697674075
2004,CO-OP CITY,39.26489998984668
2004,COBBLE HILL,79.26165427296979
2004,COBBLE HILL-WEST,64.83452457985125
2004,COLLEGE POINT,43.09434883956758
2004,CONEY ISLAND,37.058789756418086
2004,CORONA,40.19774311584789
2004,COUNTRY CLUB,43.27338268996331
2004,CROTONA PARK,24.789686124746083
2004,CROWN HEIGHTS,38.41155817388501
2004,CYPRESS HILLS,46.52846508006203
2004,DOUGLASTON,56.092358838894825
2004,DOWNTOWN-FULTON FERRY,100.19254988913525
2004,DOWNTOWN-FULTON MALL,78.42558843180942
2004,DOWNTOWN-METROTECH,58.52471783746715
2004,DYKER HEIGHTS,41.636681497368166
2004,EAST ELMHURST,38.351294666971185
2004,EAST NEW YORK,32.34256558662472
2004,EAST RIVER,40.89164530828283
2004,EAST TREMONT,22.737874660427895
2004,EAST VILLAGE,118.00855134840248
2004,ELMHURST,37.7807053279126
2004,FAR ROCKAWAY,30.254478090092803
2004,FASHION,164.184123381582
2004,FIELDSTON,57.826255676128454
2004,FINANCIAL,338.0459907978641
2004,FLATBUSH-CENTRAL,38.750291566078666
2004,FLATBUSH-EAST,36.34473568862973
2004,FLATBUSH-LEFFERTS GARDEN,30.703211224235694
2004,FLATBUSH-NORTH,32.18685923709631
