,NEIGHBORHOOD,ZIPCODE
0,BATH BEACH               ,11214.0
2,BATH BEACH               ,11228.0
131,BRIGHTON BEACH           ,11235.0
162,BATH BEACH               ,11212.0
187,BATH BEACH               ,11230.0
219,BAY RIDGE                ,11220.0
232,BAY RIDGE                ,11209.0
239,BAY RIDGE                ,11228.0
710,BAY RIDGE                ,11230.0
792,BAY RIDGE                ,11204.0
809,BAY RIDGE                ,11201.0
812,BAY RIDGE                ,11218.0
831,BAY RIDGE                ,11219.0
853,BAY RIDGE                ,11223.0
878,BAY RIDGE                ,11214.0
1058,BAY RIDGE                ,11215.0
1083,BEDFORD STUYVESANT       ,11221.0
1112,BEDFORD STUYVESANT       ,11233.0
1115,BEDFORD STUYVESANT       ,11213.0
1117,BEDFORD STUYVESANT       ,11205.0
1121,BEDFORD STUYVESANT       ,11206.0
1124,BEDFORD STUYVESANT       ,11216.0
1160,BEDFORD STUYVESANT       ,11238.0
2328,BEDFORD STUYVESANT       ,11211.0
2701,BENSONHURST              ,11204.0
2712,BENSONHURST              ,11219.0
2726,BENSONHURST              ,11228.0
2732,BENSONHURST              ,11214.0
3123,BENSONHURST              ,11223.0
3125,BERGEN BEACH             ,11234.0
3300,BOERUM HILL              ,11217.0
3309,BOERUM HILL              ,11201.0
3446,BOROUGH PARK             ,11220.0
3447,BOROUGH PARK             ,11232.0
3449,BOROUGH PARK             ,11218.0
3452,BOROUGH PARK             ,11219.0
3453,BOROUGH PARK             ,11204.0
3896,BOROUGH PARK             ,11230.0
3991,BOROUGH PARK             ,11211.0
4189,BRIGHTON BEACH           ,11229.0
4212,BRIGHTON BEACH           ,11225.0
4563,BROOKLYN HEIGHTS         ,11201.0
4629,BROOKLYN HEIGHTS         ,11217.0
4740,BROOKLYN HEIGHTS         ,11210.0
4765,BROOKLYN HEIGHTS         ,11215.0
4967,FLATLANDS                ,11234.0
5000,BROOKLYN-UNKNOWN         ,11219.0
5001,BROOKLYN-UNKNOWN         ,11206.0
5002,BROOKLYN-UNKNOWN         ,11207.0
5003,BROWNSVILLE              ,11212.0
5217,BROWNSVILLE              ,11236.0
5269,BROWNSVILLE              ,11221.0
5280,BUSH TERMINAL            ,11232.0
5281,BUSH TERMINAL            ,11220.0
5331,BUSHWICK                 ,11206.0
5332,BUSHWICK                 ,11221.0
5346,BUSHWICK                 ,11237.0
5357,BUSHWICK                 ,11207.0
6301,CANARSIE                 ,11236.0
6363,CANARSIE                 ,11214.0
6741,CANARSIE                 ,11230.0
7125,CANARSIE                 ,11239.0
7274,CANARSIE                 ,11212.0
7294,CARROLL GARDENS          ,11231.0
7337,CARROLL GARDENS          ,11217.0
7383,CARROLL GARDENS          ,11215.0
7405,CARROLL GARDENS          ,11201.0
7428,CLINTON HILL             ,11238.0
7438,CLINTON HILL             ,11205.0
7553,CLINTON HILL             ,11217.0
7566,CLINTON HILL             ,11201.0
7585,CLINTON HILL             ,11226.0
7736,COBBLE HILL              ,11201.0
7739,COBBLE HILL              ,11231.0
7828,COBBLE HILL-WEST         ,11231.0
7832,COBBLE HILL-WEST         ,11201.0
7930,CONEY ISLAND             ,11224.0
8044,CROWN HEIGHTS            ,11238.0
8047,CROWN HEIGHTS            ,11216.0
8049,CROWN HEIGHTS            ,11213.0
8072,CROWN HEIGHTS            ,11225.0
8095,CROWN HEIGHTS            ,11233.0
8221,CROWN HEIGHTS            ,11234.0
8386,CROWN HEIGHTS            ,11217.0
8432,CROWN HEIGHTS            ,11218.0
8483,CROWN HEIGHTS            ,11201.0
8762,CROWN HEIGHTS            ,11212.0
8819,CYPRESS HILLS            ,11207.0
8838,CYPRESS HILLS            ,11208.0
9277,CYPRESS HILLS            ,11201.0
9308,DOWNTOWN-FULTON FERRY    ,11201.0
9484,DOWNTOWN-FULTON MALL     ,11217.0
9488,DOWNTOWN-FULTON MALL     ,11201.0
9532,DOWNTOWN-METROTECH       ,11201.0
9556,DOWNTOWN-METROTECH       ,11202.0
9586,DYKER HEIGHTS            ,11219.0
9590,DYKER HEIGHTS            ,11228.0
9801,EAST NEW YORK            ,11207.0
9819,EAST NEW YORK            ,11208.0
10945,EAST NEW YORK            ,11212.0
11072,FLATBUSH-CENTRAL         ,11226.0
11076,FLATBUSH-CENTRAL         ,11218.0
11136,FLATBUSH-CENTRAL         ,11210.0
11139,FLATBUSH-CENTRAL         ,11230.0
11321,FLATBUSH-CENTRAL         ,11203.0
11372,FLATBUSH-CENTRAL         ,11225.0
11388,FLATBUSH-CENTRAL         ,11222.0
11411,FLATBUSH-CENTRAL         ,11201.0
11414,FLATBUSH-CENTRAL         ,11216.0
11446,FLATBUSH-CENTRAL         ,11220.0
11452,FLATBUSH-CENTRAL         ,11200.0
11512,FLATBUSH-EAST            ,11203.0
11574,FLATBUSH-EAST            ,11226.0
11668,FLATBUSH-EAST            ,11210.0
11772,FLATBUSH-EAST            ,11234.0
12078,FLATBUSH-EAST            ,11236.0
12289,FLATBUSH-LEFFERTS GARDEN ,11225.0
12359,FLATBUSH-LEFFERTS GARDEN ,11226.0
12370,FLATBUSH-LEFFERTS GARDEN ,11203.0
12410,FLATBUSH-NORTH           ,11225.0
12415,FLATBUSH-NORTH           ,11203.0
12416,FLATBUSH-NORTH           ,11212.0
12472,FLATBUSH-NORTH           ,11213.0
12554,FLATBUSH-NORTH           ,11226.0
12975,FLATLANDS                ,11212.0
12979,FLATLANDS                ,11236.0
13001,FORT GREENE              ,11217.0
13002,FORT GREENE              ,11238.0
13007,FORT GREENE              ,11205.0
13108,FORT GREENE              ,11215.0
13132,FORT GREENE              ,11201.0
13149,FORT GREENE              ,11216.0
13244,GERRITSEN BEACH          ,11229.0
13338,GOWANUS                  ,11217.0
13340,GOWANUS                  ,11231.0
13341,GOWANUS                  ,11215.0
13392,GOWANUS                  ,11209.0
13428,GRAVESEND                ,11214.0
13429,GRAVESEND                ,11204.0
13447,GRAVESEND                ,11223.0
13483,GRAVESEND                ,11224.0
13624,GRAVESEND                ,11235.0
13905,GREENPOINT               ,11222.0
14016,GREENPOINT               ,11211.0
14085,KENSINGTON               ,11218.0
14201,KENSINGTON               ,11230.0
14248,MADISON                  ,11229.0
14294,MADISON                  ,11223.0
14470,MADISON                  ,11230.0
14503,MADISON                  ,11220.0
14546,MADISON                  ,11235.0
14569,MANHATTAN BEACH          ,11235.0
14630,MARINE PARK              ,11229.0
14635,MARINE PARK              ,11234.0
14981,MIDWOOD                  ,11230.0
15024,MIDWOOD                  ,11210.0
15167,MIDWOOD                  ,11229.0
15206,MIDWOOD                  ,11218.0
15225,MIDWOOD                  ,11235.0
15240,MIDWOOD                  ,11238.0
15272,MIDWOOD                  ,11219.0
15307,MILL BASIN               ,11234.0
15410,NAVY YARD                ,11205.0
15427,OCEAN HILL               ,11233.0
15538,OCEAN HILL               ,11217.0
15543,OCEAN HILL               ,11212.0
15547,OCEAN HILL               ,11221.0
15995,OCEAN HILL               ,11238.0
16002,OCEAN HILL               ,11207.0
16007,OCEAN PARKWAY-NORTH      ,11218.0
16025,OCEAN PARKWAY-NORTH      ,11230.0
16084,OCEAN PARKWAY-NORTH      ,11223.0
16244,OCEAN PARKWAY-NORTH      ,11238.0
16273,OCEAN PARKWAY-NORTH      ,11209.0
16296,OCEAN PARKWAY-NORTH      ,11234.0
16326,OCEAN PARKWAY-NORTH      ,11208.0
16348,OCEAN PARKWAY-NORTH      ,11219.0
16367,OCEAN PARKWAY-NORTH      ,11225.0
16387,OCEAN PARKWAY-NORTH      ,11229.0
16428,OCEAN PARKWAY-NORTH      ,11203.0
16470,OCEAN PARKWAY-SOUTH      ,11223.0
16511,OCEAN PARKWAY-SOUTH      ,11235.0
16675,OCEAN PARKWAY-SOUTH      ,11237.0
16717,OCEAN PARKWAY-SOUTH      ,11229.0
16790,OCEAN PARKWAY-SOUTH      ,11230.0
16832,OLD MILL BASIN           ,11234.0
17090,PARK SLOPE               ,11217.0
17093,PARK SLOPE               ,11215.0
17387,PARK SLOPE               ,11211.0
17401,PARK SLOPE               ,11201.0
17409,PARK SLOPE               ,11212.0
17436,PARK SLOPE               ,11231.0
17715,PARK SLOPE SOUTH         ,11215.0
17878,PROSPECT HEIGHTS         ,11238.0
17887,PROSPECT HEIGHTS         ,11217.0
17967,PROSPECT HEIGHTS         ,11215.0
17968,PROSPECT HEIGHTS         ,11201.0
17969,PROSPECT HEIGHTS         ,11236.0
18000,PROSPECT HEIGHTS         ,11234.0
18202,RED HOOK                 ,11231.0
18296,SEAGATE                  ,11224.0
18347,SHEEPSHEAD BAY           ,11229.0
