NEIGHBORHOOD,BLOCK,ZIPCODE
ALPHABET CITY            ,375,10009
ALPHABET CITY            ,372,10009
ALPHABET CITY            ,378,10009
ALPHABET CITY            ,391,10009
ALPHABET CITY            ,392,10009
ALPHABET CITY            ,393,10009
ALPHABET CITY            ,397,10009
ALPHABET CITY            ,401,10009
ALPHABET CITY            ,402,10009
ALPHABET CITY            ,407,10009
ALPHABET CITY            ,394,10009
ALPHABET CITY            ,373,10009
ALPHABET CITY            ,373,10011
ALPHABET CITY            ,373,10002
ALPHABET CITY            ,376,10009
ALPHABET CITY            ,377,10009
ALPHABET CITY            ,387,10009
ALPHABET CITY            ,389,10009
ALPHABET CITY            ,390,10009
ALPHABET CITY            ,391,10003
ALPHABET CITY            ,396,10036
ALPHABET CITY            ,396,10009
ALPHABET CITY            ,398,10009
ALPHABET CITY            ,400,10009
ALPHABET CITY            ,401,10002
ALPHABET CITY            ,401,10011
ALPHABET CITY            ,404,10009
ALPHABET CITY            ,404,10019
ALPHABET CITY            ,404,10003
ALPHABET CITY            ,406,10009
ALPHABET CITY            ,386,10009
ALPHABET CITY            ,405,10009
ALPHABET CITY            ,397,10002
ALPHABET CITY            ,374,10009
CHELSEA                  ,793,10011
CHELSEA                  ,717,10011
CHELSEA                  ,719,10011
CHELSEA                  ,742,10011
CHELSEA                  ,746,10011
CHELSEA                  ,764,10011
CHELSEA                  ,743,10011
CHELSEA                  ,771,10011
CHELSEA                  ,694,10011
CHELSEA                  ,740,10011
CHELSEA                  ,741,10011
CHELSEA                  ,744,10011
CHELSEA                  ,745,10011
CHELSEA                  ,766,10011
CHELSEA                  ,770,10011
CHELSEA                  ,772,10011
CHELSEA                  ,773,10011
CHELSEA                  ,774,10001
CHELSEA                  ,776,10001
CHELSEA                  ,790,10011
CHELSEA                  ,791,10011
CHELSEA                  ,716,10011
CHELSEA                  ,767,10011
CHELSEA                  ,768,10011
CHELSEA                  ,720,10011
CHELSEA                  ,720,10001
CHELSEA                  ,722,10001
CHELSEA                  ,738,10024
CHELSEA                  ,738,10011
CHELSEA                  ,745,10028
CHELSEA                  ,753,10001
CHELSEA                  ,765,10011
CHELSEA                  ,769,10022
CHELSEA                  ,775,10001
CHELSEA                  ,722,10011
CHELSEA                  ,738,10014
CHELSEA                  ,742,10001
CHELSEA                  ,747,10011
CHELSEA                  ,766,10003
CHELSEA                  ,769,10011
CHELSEA                  ,771,10128
CHELSEA                  ,771,10010
CHELSEA                  ,775,10271
CHELSEA                  ,776,10022
CHELSEA                  ,790,10165
CHELSEA                  ,790,10004
CHELSEA                  ,792,10011
CHELSEA                  ,795,10011
CHELSEA                  ,796,10011
CHELSEA                  ,797,10011
CHELSEA                  ,798,10011
CHELSEA                  ,799,10011
CHELSEA                  ,801,10001
CHELSEA                  ,802,10001
CHELSEA                  ,802,10003
CHELSEA                  ,803,10001
CHELSEA                  ,693,10011
CHELSEA                  ,751,10001
UPPER WEST SIDE (59-79)  ,1171,10069
CHELSEA                  ,800,10001
CHELSEA                  ,801,10010
CHELSEA                  ,699,10001
CHELSEA                  ,800,10011
CHELSEA                  ,721,10011
CHELSEA                  ,746,10001
CHELSEA                  ,794,10011
CHELSEA                  ,796,10010
CHELSEA                  ,692,10011
CHELSEA                  ,799,10010
CHELSEA                  ,695,10011
CHELSEA                  ,696,10001
CHELSEA                  ,698,10001
CHELSEA                  ,713,10011
CHELSEA                  ,696,10011
CHINATOWN                ,199,10013
CHINATOWN                ,236,10013
CHINATOWN                ,162,10013
CHINATOWN                ,200,10013
CHINATOWN                ,205,10013
CHINATOWN                ,206,10013
CHINATOWN                ,207,10013
CHINATOWN                ,237,10013
CHINATOWN                ,280,10002
CHINATOWN                ,281,10002
CHINATOWN                ,282,10002
CHINATOWN                ,292,10002
CHINATOWN                ,300,10002
CHINATOWN                ,172,10013
CHINATOWN                ,171,10013
CHINATOWN                ,202,10013
CHINATOWN                ,234,10013
CHINATOWN                ,239,10013
CHINATOWN                ,277,10002
CHINATOWN                ,163,10013
CHINATOWN                ,279,10038
CHINATOWN                ,238,10013
CHINATOWN                ,162,10038
CHINATOWN                ,201,10013
CIVIC CENTER             ,147,10013
CIVIC CENTER             ,117,10038
CIVIC CENTER             ,117,10032
CIVIC CENTER             ,133,10007
CIVIC CENTER             ,134,10007
CIVIC CENTER             ,146,10013
CIVIC CENTER             ,150,10007
CIVIC CENTER             ,161,10038
CIVIC CENTER             ,178,10013
CIVIC CENTER             ,135,10007
CIVIC CENTER             ,136,10007
CIVIC CENTER             ,145,10013
CIVIC CENTER             ,173,10013
CIVIC CENTER             ,175,10013
CIVIC CENTER             ,145,10007
CIVIC CENTER             ,174,10013
CIVIC CENTER             ,177,10013
CIVIC CENTER             ,123,10007
CIVIC CENTER             ,176,10013
CLINTON                  ,1057,10036
CLINTON                  ,1060,10019
CLINTON                  ,1054,10036
