,avg_yearly_sale,avg_pct_change,pct_change_3yr,comparison_3yr,pct_change_5yr,comparison_5yr
MIDTOWN WEST,6054404698.0625,0.3036,0.0389,-0.2647,0.1308,-0.1728
UPPER EAST SIDE (59-79),4235900801.9375,0.0831,-0.0774,-0.1605,0.0112,-0.0719
MIDTOWN CBD,3705495679.5625,0.2531,-0.0645,-0.3176,-0.0884,-0.3415
UPPER WEST SIDE (59-79),3279760676.1875,0.1025,0.0332,-0.0693,0.0963,-0.0062
UPPER EAST SIDE (79-96),2897717709.0,0.0642,-0.0251,-0.0893,0.0421,-0.0221
CHELSEA,2410983737.625,0.23,0.2658,0.0358,0.2615,0.0315
FINANCIAL,1891710425.25,0.4328,-0.1515,-0.5843,-0.1384,-0.5712
MIDTOWN EAST,1811545766.8125,0.0513,-0.0668,-0.1181,0.0181,-0.0332
FLATIRON,1720011499.5,0.4997,-0.1332,-0.6329,0.3567,-0.143
FASHION,1656225215.75,0.4381,0.3915,-0.0466,0.2498,-0.1883
TRIBECA,1574382337.8125,0.2955,0.2819,-0.0136,0.1828,-0.1127
UPPER WEST SIDE (79-96),1531211514.875,0.0889,-0.0639,-0.1528,0.0605,-0.0284
GREENWICH VILLAGE-WEST,1465350461.375,0.1192,-0.044,-0.1632,0.0775,-0.0417
KIPS BAY,1461790091.875,1.259,-0.572,-1.831,1.6494,0.3904
FLUSHING-NORTH,1419332312.5625,0.154,-0.0227,-0.1767,0.077,-0.077
SOHO,1376477298.1875,0.2789,0.0794,-0.1995,0.111,-0.1679
MURRAY HILL,1293976023.875,0.1765,-0.1826,-0.3591,0.1114,-0.0651
GREENWICH VILLAGE-CENTRAL,1188728309.0,0.1323,-0.0751,-0.2074,0.0199,-0.1124
HARLEM-CENTRAL,921118545.3125,0.2067,0.0175,-0.1892,0.0523,-0.1544
LONG ISLAND CITY,887423863.875,0.252,0.2087,-0.0433,0.2612,0.0092
BEDFORD STUYVESANT,792411544.625,0.0799,-0.0649,-0.1448,0.0481,-0.0318
GRAMERCY,788964056.5625,0.2045,-0.1648,-0.3693,-0.133,-0.3375
UPPER WEST SIDE (96-116),673228850.4375,0.211,0.4194,0.2084,0.2659,0.0549
CLINTON,666381529.0,0.3352,-0.1777,-0.5129,0.3704,0.0352
PARK SLOPE,655275068.75,0.0924,0.0092,-0.0832,0.0765,-0.0159
CIVIC CENTER,602293828.5625,0.3873,0.4803,0.093,0.2897,-0.0976
ASTORIA,573369271.75,0.0809,0.0002,-0.0807,0.0553,-0.0256
BROOKLYN HEIGHTS,526082796.3125,0.168,0.1207,-0.0473,0.1734,0.0054
WILLIAMSBURG-NORTH,519867219.6875,0.2986,-0.2473,-0.5459,0.0123,-0.2863
BOROUGH PARK,512439148.25,0.073,0.0844,0.0114,0.1079,0.0349
CROWN HEIGHTS,511818623.125,0.0951,-0.0126,-0.1077,0.1329,0.0378
BAYSIDE,478659200.3125,0.0432,0.0823,0.0391,0.0814,0.0382
LOWER EAST SIDE,470626306.0,0.2164,0.0876,-0.1288,0.2205,0.0041
ELMHURST,429481835.9375,0.083,0.2345,0.1515,0.1161,0.0331
BAY RIDGE,419937739.75,0.0713,0.1109,0.0396,0.1753,0.104
FOREST HILLS,417007141.4375,0.056,-0.0778,-0.1338,0.07,0.014
BUSHWICK,407933961.0,0.0869,-0.091,-0.1779,0.1009,0.014
JACKSON HEIGHTS,401575665.0625,0.0775,0.1469,0.0694,0.1076,0.0301
FLATBUSH-CENTRAL,400171611.8125,0.1215,-0.0693,-0.1908,0.1362,0.0147
GREENPOINT,381246179.5625,0.2265,0.0771,-0.1494,0.1282,-0.0983
EAST NEW YORK,377961953.0,0.0659,0.0347,-0.0312,0.1324,0.0665
SUNSET PARK,348067080.5,0.06,0.001,-0.059,0.0413,-0.0187
WILLIAMSBURG-EAST,341911656.375,0.1507,-0.0513,-0.202,0.0752,-0.0755
FLUSHING-SOUTH,337925830.5,0.0627,-0.0571,-0.1198,0.098,0.0353
HARLEM-EAST,336890389.0625,0.2513,0.1968,-0.0545,0.0954,-0.1559
EAST VILLAGE,330014601.0625,0.1817,0.0107,-0.171,0.0772,-0.1045
CORONA,319685365.3125,0.0316,0.0646,0.033,0.1112,0.0796
SHEEPSHEAD BAY,306119010.25,0.0831,0.1487,0.0656,0.1881,0.105
WASHINGTON HEIGHTS UPPER,305974861.625,0.1514,-0.1026,-0.254,-0.0738,-0.2252
WASHINGTON HEIGHTS LOWER,301211833.625,0.2175,-0.0434,-0.2609,0.0985,-0.119
RICHMOND HILL,293136214.4375,0.0337,0.1048,0.0711,0.1494,0.1157
FLATBUSH-EAST,291812363.625,0.1009,0.0007,-0.1002,0.2173,0.1164
GRAVESEND,288621447.5625,0.0668,0.0401,-0.0267,0.0877,0.0209
REGO PARK,282540098.625,0.2116,0.5292,0.3176,0.2784,0.0668
HARLEM-UPPER,275502422.5625,0.6471,0.0358,-0.6113,0.0098,-0.6373
DOWNTOWN-FULTON FERRY,275002057.3125,0.3453,0.5735,0.2282,0.295,-0.0503
WILLIAMSBURG-SOUTH,274204696.875,0.2275,-0.0359,-0.2634,0.1365,-0.091
DOWNTOWN-FULTON MALL,272975024.875,0.6224,-0.2102,-0.8326,-0.0305,-0.6529
BENSONHURST,269426803.0,0.0471,0.0967,0.0496,0.0388,-0.0083
JAVITS CENTER,265385998.125,1.3903,0.1732,-1.2171,0.0543,-1.336
OCEAN PARKWAY-NORTH,260299254.875,0.0764,0.1967,0.1203,0.162,0.0856
CANARSIE,260243027.75,0.0703,0.0594,-0.0109,0.2229,0.1526
MANHATTAN VALLEY,259844650.0625,0.2074,0.0985,-0.1089,0.0525,-0.1549
SOUTHBRIDGE,259554071.875,0.9547,0.451,-0.5037,1.1136,0.1589
PROSPECT HEIGHTS,257645190.875,0.1401,0.2833,0.1432,0.2092,0.0691
CLINTON HILL,252284469.0,0.1879,-0.1422,-0.3301,0.0421,-0.1458
CHINATOWN,239499746.875,0.2696,0.0687,-0.2009,0.1093,-0.1603
MASPETH,233441595.6875,0.0881,0.2038,0.1157,0.135,0.0469
MIDWOOD,231748633.875,0.0919,0.0492,-0.0427,0.0799,-0.012
RIVERDALE,230217913.8125,0.1013,-0.0091,-0.1104,0.178,0.0767
DOWNTOWN-METROTECH,225663403.5625,0.9795,1.4317,0.4522,0.675,-0.3045
FORT GREENE,224378291.25,0.1607,-0.1572,-0.3179,0.0827,-0.078
MORRISANIA/LONGWOOD,221357472.1875,0.132,0.0729,-0.0591,-0.0207,-0.1527
SPRINGFIELD GARDENS,220584102.4375,0.0548,0.0325,-0.0223,0.1003,0.0455
RIDGEWOOD,215886993.625,0.0538,-0.041,-0.0948,0.0871,0.0333
SO. JAMAICA-BAISLEY PARK,210662032.25,0.0728,0.3055,0.2327,0.2201,0.1473
ALPHABET CITY,210202713.0,0.2949,0.3533,0.0584,0.2043,-0.0906
COLLEGE POINT,205372573.6875,0.0411,0.1756,0.1345,0.1054,0.0643
SOUTH JAMAICA,203586640.125,0.0459,0.1385,0.0926,0.2013,0.1554
BOERUM HILL,201639211.1875,0.1591,0.2253,0.0662,0.2194,0.0603
OCEAN HILL,199133346.375,0.0733,-0.0115,-0.0848,0.163,0.0897
GOWANUS,199115338.625,0.2685,0.3284,0.0599,0.2018,-0.0667
SOUNDVIEW,196499681.9375,0.1099,0.3048,0.1949,0.1603,0.0504
OZONE PARK,195223337.1875,0.0297,0.1276,0.0979,0.1379,0.1082
QUEENS VILLAGE,192414882.9375,0.0312,0.076,0.0448,0.1565,0.1253
LITTLE ITALY,192236735.125,0.242,-0.0077,-0.2497,0.3019,0.0599
SOUTH OZONE PARK,191540528.125,0.0183,0.1879,0.1696,0.1715,0.1532
CARROLL GARDENS,190677654.375,0.0944,0.0001,-0.0943,-0.0155,-0.1099
WHITESTONE,185129032.5625,0.0679,0.0947,0.0268,0.0599,-0.008
OCEAN PARKWAY-SOUTH,184336947.4375,0.0496,-0.0048,-0.0544,0.0726,0.023
BEDFORD PARK/NORWOOD,181026864.5625,0.1785,0.2589,0.0804,0.26,0.0815
MIDDLE VILLAGE,180824021.3125,0.0389,0.0363,-0.0026,0.0947,0.0558
JAMAICA,180556285.75,0.143,0.1584,0.0154,0.2683,0.1253
MELROSE/CONCOURSE,180393728.4375,0.2418,0.17,-0.0718,0.1985,-0.0433
ST. ALBANS,179872171.3125,0.0586,0.1626,0.104,0.1451,0.0865
MADISON,179769671.6875,0.0976,0.2896,0.192,0.2174,0.1198
FAR ROCKAWAY,177136407.9375,0.1107,0.2147,0.104,0.4032,0.2925
BRIGHTON BEACH,175266556.5,0.0641,-0.1313,-0.1954,0.0796,0.0155
WOODSIDE,174121783.9375,0.0375,-0.0235,-0.061,0.0592,0.0217
FLATBUSH-NORTH,170569061.125,0.1338,-0.1232,-0.257,0.2377,0.1039
WOODHAVEN,164605599.6875,0.0172,0.0751,0.0579,0.1281,0.1109
PARK SLOPE SOUTH,163481736.0,0.1233,0.0705,-0.0528,0.1084,-0.0149
