,NEIGHBORHOOD,Year,SALE PRICE
0,3004,2006,681408.0
1,AIRPORT JFK,2006,12177408.0
2,AIRPORT JFK,2016,7800000.0
3,AIRPORT LA GUARDIA,2003,2556890.0
4,AIRPORT LA GUARDIA,2004,3634000.0
5,AIRPORT LA GUARDIA,2005,4945750.0
6,AIRPORT LA GUARDIA,2006,2511180.0
7,AIRPORT LA GUARDIA,2007,840000.0
8,AIRPORT LA GUARDIA,2008,1000000.0
9,AIRPORT LA GUARDIA,2009,1520000.0
10,AIRPORT LA GUARDIA,2010,1010000.0
11,AIRPORT LA GUARDIA,2011,280000.0
12,AIRPORT LA GUARDIA,2012,1155000.0
13,AIRPORT LA GUARDIA,2013,2820000.0
14,AIRPORT LA GUARDIA,2014,961000.0
15,AIRPORT LA GUARDIA,2015,1240000.0
16,AIRPORT LA GUARDIA,2016,2674500.0
17,AIRPORT LA GUARDIA,2017,6267000.0
18,AIRPORT LA GUARDIA,2018,1552500.0
19,ALPHABET CITY,2003,58695200.0
20,ALPHABET CITY,2004,94969162.0
21,ALPHABET CITY,2005,159132304.0
22,ALPHABET CITY,2006,143839304.0
23,ALPHABET CITY,2007,221430397.0
24,ALPHABET CITY,2008,129034438.0
25,ALPHABET CITY,2009,50814010.0
26,ALPHABET CITY,2010,106262960.0
27,ALPHABET CITY,2011,189307473.0
28,ALPHABET CITY,2012,149709698.0
29,ALPHABET CITY,2013,303087914.0
30,ALPHABET CITY,2014,338096733.0
31,ALPHABET CITY,2015,286106121.0
32,ALPHABET CITY,2016,497604640.0
33,ALPHABET CITY,2017,220773188.0
34,ALPHABET CITY,2018,414379866.0
35,ARVERNE,2003,80866422.0
36,ARVERNE,2004,119532470.0
37,ARVERNE,2005,124294093.0
38,ARVERNE,2006,171403660.0
39,ARVERNE,2007,113848792.0
40,ARVERNE,2008,101920395.0
41,ARVERNE,2009,84911274.0
42,ARVERNE,2010,50406604.0
43,ARVERNE,2011,58486448.0
44,ARVERNE,2012,164166070.0
45,ARVERNE,2013,50284446.0
46,ARVERNE,2014,58927670.0
47,ARVERNE,2015,91894986.0
48,ARVERNE,2016,100150866.0
49,ARVERNE,2017,67424054.0
50,ARVERNE,2018,69739502.0
51,ASTORIA,2003,322206373.0
52,ASTORIA,2004,476911300.0
53,ASTORIA,2005,491968685.0
54,ASTORIA,2006,554027583.0
55,ASTORIA,2007,502219469.0
56,ASTORIA,2008,550409415.0
57,ASTORIA,2009,340196567.0
58,ASTORIA,2010,360086188.0
59,ASTORIA,2011,415877971.0
60,ASTORIA,2012,478020143.0
61,ASTORIA,2013,628986683.0
62,ASTORIA,2014,873853620.0
63,ASTORIA,2015,774826550.0
64,ASTORIA,2016,814711704.0
65,ASTORIA,2017,816386535.0
66,ASTORIA,2018,773219562.0
67,BATH BEACH,2003,105874728.0
68,BATH BEACH,2004,190384168.0
69,BATH BEACH,2005,162243382.0
70,BATH BEACH,2006,129831531.0
71,BATH BEACH,2007,166409642.0
72,BATH BEACH,2008,165812470.0
73,BATH BEACH,2009,104983824.0
74,BATH BEACH,2010,99966394.0
75,BATH BEACH,2011,77828276.0
76,BATH BEACH,2012,106920671.0
77,BATH BEACH,2013,118838554.0
78,BATH BEACH,2014,155704600.0
79,BATH BEACH,2015,181043366.0
80,BATH BEACH,2016,185057147.0
81,BATH BEACH,2017,149250448.0
82,BATH BEACH,2018,180695262.0
83,BATHGATE,2003,32988491.0
84,BATHGATE,2004,59470582.0
85,BATHGATE,2005,57615333.0
86,BATHGATE,2006,64444241.0
87,BATHGATE,2007,64228715.0
88,BATHGATE,2008,32055281.0
89,BATHGATE,2009,19365872.0
90,BATHGATE,2010,26075279.0
91,BATHGATE,2011,14145120.0
92,BATHGATE,2012,25591840.0
93,BATHGATE,2013,159054386.0
94,BATHGATE,2014,36640303.0
95,BATHGATE,2015,62903688.0
96,BATHGATE,2016,59368467.0
97,BATHGATE,2017,47721411.0
98,BATHGATE,2018,74633413.0
99,BAY RIDGE,2003,333058940.0
100,BAY RIDGE,2004,421591356.0
101,BAY RIDGE,2005,484181718.0
102,BAY RIDGE,2006,492515368.0
103,BAY RIDGE,2007,414410054.0
104,BAY RIDGE,2008,309734088.0
105,BAY RIDGE,2009,350607392.0
106,BAY RIDGE,2010,301275706.0
107,BAY RIDGE,2011,254669060.0
108,BAY RIDGE,2012,324640307.0
109,BAY RIDGE,2013,344640811.0
110,BAY RIDGE,2014,445892572.0
111,BAY RIDGE,2015,557333191.0
112,BAY RIDGE,2016,452088440.0
113,BAY RIDGE,2017,519418248.0
114,BAY RIDGE,2018,712946585.0
115,BAYCHESTER,2003,125710970.0
116,BAYCHESTER,2004,147868411.0
117,BAYCHESTER,2005,312558902.0
118,BAYCHESTER,2006,255585671.0
119,BAYCHESTER,2007,310557427.0
120,BAYCHESTER,2008,92527464.0
121,BAYCHESTER,2009,79765061.0
122,BAYCHESTER,2010,67171163.0
123,BAYCHESTER,2011,74418290.0
124,BAYCHESTER,2012,126021384.0
125,BAYCHESTER,2013,75066389.0
126,BAYCHESTER,2014,83785254.0
127,BAYCHESTER,2015,104591394.0
128,BAYCHESTER,2016,154436597.0
129,BAYCHESTER,2017,174886747.0
130,BAYCHESTER,2018,163887862.0
131,BAYSIDE,2003,420605449.0
132,BAYSIDE,2004,564005890.0
133,BAYSIDE,2005,544099730.0
134,BAYSIDE,2006,495426353.0
135,BAYSIDE,2007,591697172.0
136,BAYSIDE,2008,437320271.0
137,BAYSIDE,2009,337184095.0
138,BAYSIDE,2010,332116653.0
139,BAYSIDE,2011,300319754.0
140,BAYSIDE,2012,345426474.0
141,BAYSIDE,2013,442200372.0
142,BAYSIDE,2014,489733839.0
143,BAYSIDE,2015,515536804.0
144,BAYSIDE,2016,542055485.0
145,BAYSIDE,2017,654045907.0
146,BAYSIDE,2018,646772957.0
147,BEDFORD PARK/NORWOOD,2003,91184855.0
148,BEDFORD PARK/NORWOOD,2004,145640094.0
149,BEDFORD PARK/NORWOOD,2005,222490372.0
150,BEDFORD PARK/NORWOOD,2006,218357038.0
151,BEDFORD PARK/NORWOOD,2007,280919932.0
152,BEDFORD PARK/NORWOOD,2008,189260264.0
153,BEDFORD PARK/NORWOOD,2009,77719385.0
154,BEDFORD PARK/NORWOOD,2010,75890212.0
155,BEDFORD PARK/NORWOOD,2011,104505242.0
156,BEDFORD PARK/NORWOOD,2012,141143293.0
157,BEDFORD PARK/NORWOOD,2013,168712906.0
158,BEDFORD PARK/NORWOOD,2014,293044581.0
159,BEDFORD PARK/NORWOOD,2015,230519212.0
160,BEDFORD PARK/NORWOOD,2016,257314962.0
161,BEDFORD PARK/NORWOOD,2017,126079944.0
162,BEDFORD PARK/NORWOOD,2018,273647541.0
163,BEDFORD STUYVESANT,2003,538470923.0
164,BEDFORD STUYVESANT,2004,724650277.0
165,BEDFORD STUYVESANT,2005,908771405.0
166,BEDFORD STUYVESANT,2006,926812179.0
167,BEDFORD STUYVESANT,2007,702467584.0
168,BEDFORD STUYVESANT,2008,448368437.0
169,BEDFORD STUYVESANT,2009,291014195.0
170,BEDFORD STUYVESANT,2010,329745617.0
171,BEDFORD STUYVESANT,2011,473697407.0
172,BEDFORD STUYVESANT,2012,610102004.0
173,BEDFORD STUYVESANT,2013,875796642.0
174,BEDFORD STUYVESANT,2014,1162137039.0
175,BEDFORD STUYVESANT,2015,1287972351.0
176,BEDFORD STUYVESANT,2016,1236608072.0
177,BEDFORD STUYVESANT,2017,1110055362.0
178,BEDFORD STUYVESANT,2018,1051915220.0
179,BEECHHURST,2003,68340993.0
180,BEECHHURST,2004,96112381.0
181,BEECHHURST,2005,97911271.0
