BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,15, ,A5, 4714 AMBOY ROAD                           ,            ,10312,1,0,1,4678,1110,2002, 1 , A5 ,0,8/31/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,52, ,A1, 575 OAKDALE STREET                        ,            ,10312,1,0,1,5000,1504,1925, 1 , A1 ,580000,6/20/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,80, ,A1, 15 BLUE HERON DRIVE                       ,            ,10312,1,0,1,7500,3000,1980, 1 , A1 ,962500,4/20/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5394,8, ,A1, 16 FINGAL STREET                          ,            ,10312,1,0,1,10000,5163,1985, 1 , A1 ,1250000,12/22/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5399,37, ,A2, 255 KOCH BOULEVARD                        ,            ,10312,1,0,1,8190,1528,1970, 1 , A2 ,725000,10/28/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5400,25, ,A1, 15 JANSEN STREET                          ,            ,10312,1,0,1,10000,3344,1980, 1 , A1 ,400000,10/31/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5401,5, ,A2, 28 JANSEN STREET                          ,            ,10312,1,0,1,10800,2164,1980, 1 , A2 ,0,2/18/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,35, ,A1, 103 ELMBANK STREET                        ,            ,10312,1,0,1,2500,1700,1999, 1 , A1 ,485000,2/11/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,37, ,A1, 111 ELMBANK STREET                        ,            ,10312,1,0,1,2500,1700,1999, 1 , A1 ,469000,3/17/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,45, ,A1, 391 HAROLD AVENUE                         ,            ,10312,1,0,1,3069,2862,2004, 1 , A1 ,0,2/28/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,1, ,A1, 407 HAROLD AVENUE                         ,            ,10312,1,0,1,3800,3020,2001, 1 , A1 ,770000,11/2/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,6, ,A1, 118 ELMBANK STREET                        ,            ,10312,1,0,1,6200,2580,1975, 1 , A1 ,0,5/13/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5408,7, ,A2, 192 BATHGATE STREET                       ,            ,10312,1,0,1,2500,572,1930, 1 , A2 ,280000,10/18/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5426,19, ,A1, 8 SANDGAP STREET                          ,            ,10312,1,0,1,1975,1280,1997, 1 , A1 ,359000,2/10/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5426,34, ,A1, 13 OCEAN DRIVEWAY                         ,            ,10312,1,0,1,2500,2000,1915, 1 , A6 ,465000,11/10/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,9, ,A5, 103 EAGAN AVENUE                          ,            ,10312,1,0,1,2665,1854,1986, 1 , A5 ,405000,10/12/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,36, ,A5, 53 EAGAN AVENUE                           ,            ,10312,1,0,1,1546,1579,1986, 1 , A5 ,355000,2/28/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,83, ,A1, 7 SEGUINE PLACE                           ,            ,10312,1,0,1,3989,3200,2004, 1 , A1 ,672045,6/17/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,128, ,A5, 14 MAY PLACE                              ,            ,10312,1,0,1,2400,2495,1986, 1 , A5 ,499990,11/11/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,33, ,A5, 102 SEGUINE PLACE                         ,            ,10312,1,0,1,1550,1521,1986, 1 , A5 ,355000,5/10/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,49, ,A5, 76 SEGUINE PLACE                          ,            ,10312,1,0,1,1508,1521,1986, 1 , A5 ,360000,6/23/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,50, ,A5, 74 SEGUINE PLACE                          ,            ,10312,1,0,1,1508,1068,1986, 1 , A5 ,0,6/13/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,51, ,A5, 72 SEGUINE PLACE                          ,            ,10312,1,0,1,1508,1068,1986, 1 , A5 ,321000,12/2/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,52, ,A5, 70 SEGUINE PLACE                          ,            ,10312,1,0,1,2700,1320,1986, 1 , A5 ,0,3/15/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,52, ,A5, 70 SEGUINE PLACE                          ,            ,10312,1,0,1,2700,1320,1986, 1 , A5 ,0,3/15/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,87, ,A1, 1090 ARDEN AVENUE                         ,            ,10312,1,0,1,4200,2352,1970, 1 , A1 ,430000,12/22/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1B,6212,113, ,V0, 1144 ARDEN AVENUE                         ,            ,10312,0,0,0,3270,0,0, 1 , A1 ,550000,6/9/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6215,21, ,A2, 86 MOSELY AVENUE                          ,            ,10312,1,0,1,10000,968,1955, 1 , A2 ,585000,1/6/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,35, ,A5, 14 EAGAN AVENUE                           ,            ,10312,1,0,1,1333,1515,1994, 1 , A5 ,325000,7/28/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,37, ,A5, 18 EAGAN AVENUE                           ,            ,10312,1,0,1,1333,1515,1994, 1 , A5 ,329000,1/14/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,43, ,A5, 123 MOSELY AVENUE                         ,            ,10312,1,0,1,2500,2008,2001, 1 , A5 ,465000,8/18/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,2, ,A5, 71 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,385219,1/3/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,3, ,A5, 69 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,395359,1/7/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,6, ,A5, 63 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,400530,3/24/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,9, ,A5, 55 BARB STREET                            ,            ,10312,1,0,1,2575,1661,2004, 1 , A5 ,420000,2/24/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,10, ,A5, 53 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,401443,2/23/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,11, ,A5, 51 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,395359,2/16/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,12, ,A5, 49 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,395359,3/2/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,13, ,A5, 47 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,412546,2/25/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,14, ,A5, 45 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,395359,2/15/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,15, ,A5, 43 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,419087,2/28/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,16, ,A5, 41 BARB STREET                            ,            ,10312,1,0,1,2575,1661,2004, 1 , A5 ,430950,5/9/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,17, ,A5, 37 BARB STREET                            ,            ,10312,1,0,1,2575,1661,2004, 1 , A5 ,430950,4/11/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,18, ,A5, 35 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,400530,3/23/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,19, ,A5, 33 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,410670,4/21/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,20, ,A5, 31 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,400530,4/21/2005
