BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3035,5, ,A9, 451 EAST 178 STREET                       ,            ,10457,1,0,1,1287,1992,1899, 1 , A9 ,0,12/7/2009
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046,42, ,A1, 2069 BATHGATE AVENUE                      ,            ,10457,1,0,1,1964,1424,1899, 1 , A1 ,100,4/28/2009
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046,42, ,A1, 2069 BATHGATE AVE                         ,            ,10457,1,0,1,1964,1424,1899, 1 , A1 ,100,4/13/2009
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,19, ,A5, 2186 BATHGATE AVENUE                      ,            ,10457,1,0,1,1768,1188,1901, 1 , A5 ,345752,3/16/2009
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,28, ,A1, 540 EAST 182ND STREET                     ,            ,10457,1,0,1,1209,1048,1901, 1 , A1 ,0,5/14/2009
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053,105, ,A1, 2323 BASSFORD AVENUE                      ,            ,10458,1,0,1,922,1248,1901, 1 , A1 ,0,1/22/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,71, ,B2, 4443 PARK AVENUE                          ,            ,10457,2,0,2,2352,1632,1899, 1 , B2 ,135000,5/8/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,76, ,B2, 4435 PARK AVENUE                          ,            ,10457,2,0,2,2444,2125,1899, 1 , B2 ,325000,3/30/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,131, ,B1, 464 EAST 179TH                            ,            ,10457,2,0,2,1790,2340,1998, 1 , B1 ,0,10/7/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,33, ,B3, 2091 WASHINGTON AVE                       ,            ,10457,2,0,2,2022,3854,1899, 1 , B3 ,0,5/8/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,62, ,B1, 459 EAST 179 STREET                       ,            ,10457,2,0,2,2000,2340,1998, 1 , B1 ,344500,11/20/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,62, ,B1, 459 EAST 179TH STREET                     ,            ,10457,2,0,2,2000,2340,1998, 1 , B1 ,316474,5/4/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3037,6, ,B2, 4392 PARK AVENUE                          ,            ,10457,2,0,2,2275,3240,1899, 1 , B2 ,359038,1/19/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,12, ,B2, 454 EAST 185TH STREET                     ,            ,10458,2,0,2,1667,1944,1910, 1 , B2 ,183028,11/2/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,45, ,B1, 446 EAST 186 STREET                       ,            ,10458,2,0,2,2000,2060,1901, 1 , B1 ,286000,10/9/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3047,16, ,B2, 2125 BATHGATE AVENUE                      ,            ,10457,2,0,2,3362,1744,1901, 1 , B2 ,0,4/3/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,94, ,B2, 2240 BASSFORD AVENUE                      ,            ,10457,2,0,2,1300,2300,1901, 1 , B2 ,389000,7/28/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3053,22, ,S2, 511 EAST 183 STREET                       ,            ,10458,2,1,3,2011,4280,1901, 1 , S2 ,1,11/18/2009
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3053,22, ,S2, 511 EAST 183RD STREET                     ,            ,10458,2,1,3,2011,4280,1901, 1 , S2 ,415440,8/24/2009
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,2912,116, ,C0, 1536 WASHINGTON AVENUE                    ,            ,10457,3,0,3,2000,2400,1993, 1 , C0 ,319500,10/7/2009
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,2912,116, ,C0, 1536 WASHINGTON AVENUE                    ,            ,10457,3,0,3,2000,2400,1993, 1 , C0 ,100,1/12/2009
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3029,28, ,C0, 2092 WEBSTER AVENUE                       ,            ,10457,3,0,3,2122,3510,1899, 1 , C0 ,0,11/18/2009
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,67, ,C0, 460 EAST 182 STREET                       ,            ,10457,3,0,3,2000,3744,1899, 1 , C0 ,162240,11/12/2009
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,103, ,C0, 2135 WASHINGTON AVENUE                    ,            ,10457,3,0,3,1701,4600,2006, 1 , C0 ,630000,7/17/2009
