BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,2908,25, ,A1, 460 E176TH STREET                         ,            ,10457,1,0,1,2580,2070,1910, 1 , A1 ,0,11/6/2008
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3039,28, ,A1, 2329 WASHINGTON AVENUE                    ,            ,10458,1,0,1,1103,1290,1910, 1 , A1 ,370000,5/27/2008
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3039,29, ,A9, 2327 WASHINGTON AVE                       ,            ,10458,1,0,1,1095,1260,1910, 1 , A9 ,360000,4/18/2008
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3043,56, ,A1, 1950 BATHGATE AVENUE                      ,            ,10457,1,0,1,2356,2048,1901, 1 , A1 ,0,9/3/2008
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046,34, ,A1, 2085 BATHGATE                             ,            ,10457,1,0,1,2060,1629,1899, 1 , A1 ,274764,8/4/2008
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3047,11, ,A1, 482 EAST 181 STREET                       ,            ,10457,1,0,1,1556,1240,1901, 1 , A1 ,283000,6/11/2008
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053,105, ,A1, 2323 BASSFORD AVENUE                      ,            ,10458,1,0,1,922,1248,1901, 1 , A1 ,250000,8/4/2008
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2897,51, ,S2, 1688 WEBSTER AVENUE                       ,            ,10457,2,1,3,2250,3750,1899, 1 , S2 ,0,12/10/2008
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2897,51, ,S2, 1688 WEBSTER AVENUE                       ,            ,10457,2,1,3,2250,3750,1899, 1 , S2 ,449167,12/10/2008
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3029,33, ,B2, 412 EAST 180 STREET                       ,            ,10457,2,0,2,2046,2112,1899, 1 , B2 ,76050,9/24/2008
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,60, ,B3, 4469 PARK AVENUE                          ,            ,10457,2,0,2,1542,1542,1899, 1 , B3 ,419000,4/30/2008
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,61, ,B3, 4467 PARK AVENUE                          ,            ,10457,2,0,2,1556,1494,1899, 1 , B3 ,510000,1/18/2008
