BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY            ,01  ONE FAMILY HOMES                        ,1,376,43, ,S1, 743 EAST 6TH   STREET                     ,            ,10009,1,1,2,2090,3680,1940, 1 , S1 ,10,8/26/2011
1,ALPHABET CITY            ,02  TWO FAMILY HOMES                        ,1,373,1, ,S2, 40 AVENUE C                               ,            ,10009,2,1,3,1923,4800,1901, 1 , S2 ,0,12/21/2011
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,372,31, ,C3, 316 EAST 3RD   STREET                     ,            ,10009,4,0,4,5746,2700,1900, 2 , C3 ,3500000,9/8/2011
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,376,54, ,C4, 719 E 6TH  ST                             ,            ,10009,16,0,16,3437,9180,1900, 2 , C4 ,2966835,7/25/2011
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,377,2, ,C7, 116 AVENUE C                              ,            ,10009,22,3,25,4510,19830,1900, 2 , C7 ,0,6/10/2011
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,384,17, ,C4, 225 EAST 2ND   STREET                     ,            ,10009,10,0,10,2145,6670,1900, 2 , C4 ,0,11/3/2011
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,384,18, ,C4, 227 EAST 2ND   STREET                     ,            ,10009,10,0,10,2100,6525,1900, 2 , C4 ,0,11/3/2011
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,384,26, ,C4, 243 EAST 2ND   STREET                     ,            ,10009,10,0,10,1600,7060,1900, 2 , C4 ,1400000,1/31/2011
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,384,27, ,C4, 245 EAST 2ND   STREET                     ,            ,10009,10,0,10,1600,6950,1900, 2 , C4 ,800000,1/31/2011
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,389,22, ,C7, 208 EAST 7TH                              ,            ,10009,28,2,30,4544,19418,1900, 2 , C7 ,11000000,9/1/2011
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,389,31, ,C7, 226 E 7TH ST                              ,            ,10009,9,1,10,1757,8004,1900, 2 , C7 ,2845000,4/27/2011
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,392,37, ,C7, 145 AVENUE C                              ,            ,10009,25,5,30,3839,18836,1900, 2 , C7 ,9740000,12/1/2011
