,Neighborhood,NEIGHBORHOOD,current_status,avg_pct_change,pct_change_3yr,comparison_3yr,pct_change_5yr,comparison_5yr
0,Astoria,ASTORIA,1691.0,-0.041,-0.011,0.03,-0.019,0.022
1,BathBeach,BATH,1017.0,-0.047,-0.063,-0.016,-0.062,-0.015
2,BathBeach,BATHBEACH,1017.0,-0.047,-0.063,-0.016,-0.062,-0.015
3,BathBeach,GRAVESEND,1017.0,-0.047,-0.063,-0.016,-0.062,-0.015
4,BatteryPark,FINANCIAL,1356.0,-0.048,-0.021,0.027,-0.003,0.045
5,BatteryPark,SOUTHBRIDGE,1356.0,-0.048,-0.021,0.027,-0.003,0.045
6,BayRidge,BAYRIDGE,775.0,-0.044,-0.068,-0.024,-0.038,0.006
7,BayRidge,UPPERBAY,775.0,-0.044,-0.068,-0.024,-0.038,0.006
8,Bayside,BAYSIDE,677.0,-0.045,-0.049,-0.004,-0.055,-0.01
9,Bayside,DOUGLASTON,677.0,-0.045,-0.049,-0.004,-0.055,-0.01
10,Bayside,LITTLENECK,677.0,-0.045,-0.049,-0.004,-0.055,-0.01
11,Bayside,OAKLANDGARDENS,677.0,-0.045,-0.049,-0.004,-0.055,-0.01
12,BedfordPark,BEDFORDPARK/NORWOOD,1917.0,-0.034,-0.027,0.007,-0.025,0.009
13,BedfordStuyvesant,BEDFORDSTUYVESANT,1198.0,-0.017,-0.054,-0.037,-0.041,-0.024
14,Belmont,BELMONT,1394.0,-0.024,-0.079,-0.055,-0.045,-0.021
15,Bensonhurst,BENSONHURST,1017.0,-0.047,-0.063,-0.016,-0.062,-0.015
16,BoroughPark,BOROUGHPARK,974.0,-0.043,-0.047,-0.004,-0.037,0.006
17,BrightonBeach,BRIGHTONBEACH,947.0,-0.043,-0.108,-0.065,-0.067,-0.024
18,BrightonBeach,MANHATTANBEACH,947.0,-0.043,-0.108,-0.065,-0.067,-0.024
19,BrightonBeach,SEAGATE,947.0,-0.043,-0.108,-0.065,-0.067,-0.024
20,BrooklynHeights,BROOKLYNHEIGHTS,1151.0,-0.022,0.023,0.045,0.018,0.04
21,BrooklynHeights,BROOKLYN-UNKNOWN,1151.0,-0.022,0.023,0.045,0.018,0.04
22,BrooklynHeights,COBBLEHILL,1151.0,-0.022,0.023,0.045,0.018,0.04
23,BrooklynHeights,COBBLEHILL-WEST,1151.0,-0.022,0.023,0.045,0.018,0.04
24,BrooklynHeights,DOWNTOWN-FULTONFERRY,1151.0,-0.022,0.023,0.045,0.018,0.04
25,BrooklynHeights,DOWNTOWN-METROTECH,1151.0,-0.022,0.023,0.045,0.018,0.04
26,Brownsville,BROWNSVILLE,1686.0,-0.025,-0.008,0.017,-0.041,-0.016
27,Bushwick,BUSHWICK,1460.0,-0.029,-0.045,-0.016,-0.052,-0.023
28,Bushwick,WYCKOFFHEIGHTS,1460.0,-0.029,-0.045,-0.016,-0.052,-0.023
29,Canarsie,CANARSIE,887.0,-0.047,-0.079,-0.032,-0.073,-0.026
30,CarrollGardens,CARROLLGARDENS,864.0,0.042,-0.037,-0.079,-0.03,-0.072
31,CarrollGardens,BOERUMHILL,864.0,0.042,-0.037,-0.079,-0.03,-0.072
32,CarrollGardens,GOWANUS,864.0,0.042,-0.037,-0.079,-0.03,-0.072
33,CarrollGardens,REDHOOK,864.0,0.042,-0.037,-0.079,-0.03,-0.072
34,CentralHarlem,HARLEM-CENTRAL,1026.0,0.005,-0.026,-0.031,0.009,0.004
35,Chelsea,CHELSEA,2425.0,0.097,0.009,-0.088,0.014,-0.083
36,Chelsea,FLATIRON,2425.0,0.097,0.009,-0.088,0.014,-0.083
37,Chelsea,MADISON,2425.0,0.097,0.009,-0.088,0.014,-0.083
38,Chinatown,CHINATOWN,1302.0,0.005,-0.005,-0.01,-0.015,-0.02
39,Clinton,CLINTON,2425.0,0.097,0.009,-0.088,0.014,-0.083
40,Co-opCity,CO-OPCITY,1178.0,-0.028,-0.016,0.012,0.014,0.042
41,ConcourseVillage,MELROSE/CONCOURSE,2053.0,-0.03,-0.059,-0.029,-0.011,0.019
42,ConeyIsland,CONEYISLAND,947.0,-0.043,-0.108,-0.065,-0.067,-0.024
43,CrownHeightsNorth,CROWNHEIGHTS,1138.0,-0.038,-0.085,-0.047,-0.085,-0.047
44,DykerHeights,DYKERHEIGHTS,775.0,-0.044,-0.068,-0.024,-0.038,0.006
45,EastFlatbush,FLATBUSH-EAST,1805.0,-0.041,-0.051,-0.01,-0.053,-0.012
46,EastHarlem,HARLEM-EAST,1219.0,-0.002,0.029,0.031,0.021,0.023
47,EastNewYork,EASTNEWYORK,3298.0,-0.019,-0.02,-0.001,-0.033,-0.014
48,EastNewYork,HOWARDBEACH,3298.0,-0.019,-0.02,-0.001,-0.033,-0.014
49,EastNewYork,SPRINGCREEK,3298.0,-0.019,-0.02,-0.001,-0.033,-0.014
50,EastTremont,EASTTREMONT,1394.0,-0.024,-0.079,-0.055,-0.045,-0.021
51,EastWilliamsburg,WILLIAMSBURG-EAST,1494.0,-0.016,-0.033,-0.017,-0.022,-0.006
52,EastWilliamsburg,MASPETH,1494.0,-0.016,-0.033,-0.017,-0.022,-0.006
53,EastWilliamsburg,NAVYYARD,1494.0,-0.016,-0.033,-0.017,-0.022,-0.006
54,EastWilliamsburg,WILLIAMSBURG-CENTRAL,1494.0,-0.016,-0.033,-0.017,-0.022,-0.006
55,EastWilliamsburg,WILLIAMSBURG-NORTH,1494.0,-0.016,-0.033,-0.017,-0.022,-0.006
56,EastWilliamsburg,WILLIAMSBURG-SOUTH,1494.0,-0.016,-0.033,-0.017,-0.022,-0.006
57,Elmhurst,ELMHURST,1540.0,-0.031,0.012,0.043,-0.022,0.009
58,Elmhurst,EASTELMHURST,1540.0,-0.031,0.012,0.043,-0.022,0.009
