neighborhood,crime_rank,income_rank,sales_rank,dev_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
ASTORIA,143.5,140.0,71.0,40.0,0.4788,0.4023,1.9038
BATHBEACH,168.0,124.0,57.0,135.0,0.5874,0.5182,1.6841
GRAVESEND,168.0,71.5,49.5,56.0,0.4187,0.3711,1.3739
FINANCIAL,178.0,2.0,177.0,14.0,0.4502,0.4042,4.2066
SOUTHBRIDGE,178.0,204.0,189.0,21.0,0.7184,0.5927,4.687
BAYRIDGE,158.0,148.5,55.0,110.0,0.5722,0.4947,1.6284
BAYSIDE,161.5,135.0,20.0,96.0,0.5006,0.4347,0.7951
DOUGLASTON,161.5,114.0,26.0,10.0,0.378,0.319,0.8191
LITTLENECK,161.5,112.0,32.0,158.0,0.5625,0.5031,1.1172
OAKLANDGARDENS,161.5,76.0,11.0,172.0,0.5103,0.4688,0.6133
BEDFORDPARK/NORWOOD,123.5,37.5,127.0,26.0,0.3811,0.3345,3.0681
BEDFORDSTUYVESANT,63.0,160.5,70.0,48.0,0.4144,0.3355,1.8606
BELMONT,79.5,15.0,148.0,28.0,0.3283,0.2891,3.506
BENSONHURST,168.0,76.0,25.0,98.0,0.4454,0.4007,0.8592
BOROUGHPARK,153.5,121.0,59.0,179.0,0.622,0.5545,1.7666
BRIGHTONBEACH,153.5,111.0,45.0,100.0,0.497,0.436,1.3478
MANHATTANBEACH,153.5,85.5,43.0,9.0,0.3532,0.3023,1.1775
SEAGATE,153.5,92.0,114.0,111.0,0.571,0.5041,2.9323
BROOKLYNHEIGHTS,72.5,178.0,123.0,107.0,0.5831,0.4867,3.1698
BROOKLYN-UNKNOWN,72.5,152.0,200.0,165.0,0.7154,0.6142,4.9834
COBBLEHILL,72.5,201.0,167.0,39.0,0.5819,0.4683,4.1325
COBBLEHILL-WEST,72.5,192.0,152.0,5.0,0.5115,0.4042,3.7407
DOWNTOWN-FULTONFERRY,72.5,190.0,169.0,123.0,0.6729,0.5631,4.2596
DOWNTOWN-METROTECH,72.5,205.0,190.0,137.0,0.7336,0.614,4.7737
BROWNSVILLE,81.5,134.0,103.0,7.0,0.395,0.3187,2.5622
BUSHWICK,92.0,168.0,78.0,105.0,0.5376,0.4524,2.1322
WYCKOFFHEIGHTS,92.0,138.0,125.0,30.0,0.4672,0.3845,3.1049
CANARSIE,168.0,101.0,54.0,34.0,0.4333,0.3735,1.4823
CARROLLGARDENS,8.0,187.5,83.0,152.0,0.5225,0.4342,2.2667
BOERUMHILL,8.0,191.0,120.0,177.0,0.6019,0.5052,3.1506
GOWANUS,8.0,182.0,158.0,149.0,0.6032,0.5026,3.9875
REDHOOK,8.0,198.0,180.0,176.0,0.682,0.5712,4.5398
HARLEM-CENTRAL,22.5,155.0,135.0,49.0,0.4387,0.352,3.3305
CHELSEA,2.5,17.0,146.0,16.0,0.2203,0.1856,3.402
FLATIRON,2.5,126.5,181.0,87.0,0.4818,0.3985,4.3929
MADISON,2.5,94.5,88.0,88.0,0.3313,0.2781,2.2185
CHINATOWN,22.5,203.0,160.0,130.0,0.6256,0.5157,4.0421
CLINTON,2.5,197.0,168.0,18.0,0.4678,0.36,4.0862
CO-OPCITY,85.5,9.0,196.0,4.0,0.3574,0.3109,4.5844
MELROSE/CONCOURSE,101.5,55.0,150.0,131.0,0.5309,0.4746,3.7168
CONEYISLAND,153.5,85.5,182.0,175.0,0.7233,0.6459,4.5639
CROWNHEIGHTS,142.0,144.5,85.0,114.5,0.5898,0.5091,2.3115
DYKERHEIGHTS,158.0,94.5,27.0,127.0,0.4933,0.4418,0.9489
FLATBUSH-EAST,143.5,128.0,90.0,133.0,0.6001,0.5247,2.4319
HARLEM-EAST,31.0,156.0,153.0,101.0,0.5352,0.4441,3.8085
EASTNEWYORK,68.0,147.0,48.0,79.0,0.415,0.3452,1.3771
SPRINGCREEK,68.0,69.5,198.0,148.0,0.5868,0.5179,4.8359
EASTTREMONT,79.5,10.5,149.0,35.0,0.3325,0.2949,3.5323
WILLIAMSBURG-EAST,59.5,174.0,117.0,89.0,0.5334,0.4405,3.0001
MASPETH,59.5,139.0,79.0,3.0,0.3404,0.2682,1.9959
NAVYYARD,59.5,189.0,187.0,162.0,0.7251,0.6131,4.7084
WILLIAMSBURG-CENTRAL,59.5,193.0,93.0,92.0,0.5309,0.4354,2.4684
WILLIAMSBURG-NORTH,59.5,202.0,165.0,134.0,0.6802,0.5674,4.1832
WILLIAMSBURG-SOUTH,59.5,200.0,145.0,121.0,0.6377,0.5295,3.7059
ELMHURST,110.0,84.0,73.0,145.0,0.5,0.4468,1.9899
EASTELMHURST,110.0,117.0,63.0,166.0,0.5534,0.4895,1.8143
FLATBUSH-CENTRAL,202.0,151.0,104.0,64.0,0.6323,0.5416,2.7371
FLATBUSH-NORTH,202.0,108.0,111.0,37.0,0.5558,0.4803,2.8273
FLATLANDS,168.0,82.0,64.0,163.0,0.5789,0.5245,1.8353
BERGENBEACH,168.0,103.0,62.0,150.0,0.5862,0.5241,1.7954
MILLBASIN,168.0,88.0,171.0,116.0,0.659,0.5818,4.257
OLDMILLBASIN,168.0,59.0,8.0,71.0,0.3714,0.3365,0.4212
FLUSHING-NORTH,178.0,113.0,119.0,86.0,0.6019,0.5245,3.0556
BEECHHURST,178.0,89.5,23.0,59.0,0.4242,0.3741,0.7897
COLLEGEPOINT,178.0,92.0,17.0,46.0,0.4041,0.3542,0.6396
