neighborhood,crime_rank,income_rank,avg_sales_rank,cum_development_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
ASTORIA,30.0,133.0,176.0,158.0,0.6032,0.5165,4.3782
BATHBEACH,144.5,120.0,93.0,46.0,0.4897,0.4166,2.3988
GRAVESEND,144.5,77.0,150.0,126.0,0.6038,0.5363,3.7588
FINANCIAL,64.5,199.0,196.0,183.0,0.7797,0.6618,4.9516
SOUTHBRIDGE,64.5,168.0,139.0,131.0,0.6098,0.5147,3.5504
BAYRIDGE,186.0,137.0,168.0,136.0,0.7609,0.6643,4.2682
BAYSIDE,190.5,112.0,171.0,148.0,0.7542,0.6664,4.3289
DOUGLASTON,190.5,145.0,74.0,30.0,0.5334,0.4515,1.9954
LITTLENECK,190.5,148.0,76.0,37.0,0.5479,0.4645,2.0521
OAKLANDGARDENS,190.5,118.0,81.0,26.0,0.5042,0.4313,2.1263
BEDFORDPARK/NORWOOD,26.5,19.0,112.0,124.0,0.3416,0.3112,2.7525
BEDFORDSTUYVESANT,99.0,82.0,182.0,166.0,0.642,0.5694,4.5176
BELMONT,59.5,14.0,42.0,95.0,0.2555,0.2382,1.1219
BENSONHURST,144.5,80.0,144.0,101.0,0.5698,0.5023,3.5961
BOROUGHPARK,150.5,88.0,173.0,159.0,0.6924,0.6159,4.3395
BRIGHTONBEACH,153.5,105.0,105.0,54.0,0.5067,0.4365,2.6752
MANHATTANBEACH,153.5,97.0,36.0,56.0,0.4157,0.3618,1.0786
SEAGATE,153.5,26.0,16.0,10.0,0.2494,0.2266,0.4982
BROOKLYNHEIGHTS,119.5,162.0,175.0,152.0,0.7385,0.6352,4.431
BROOKLYN-UNKNOWN,119.5,131.0,13.0,87.0,0.4254,0.365,0.5945
COBBLEHILL,119.5,173.0,91.0,64.0,0.5431,0.4517,2.4087
COBBLEHILL-WEST,119.5,167.0,39.0,23.0,0.4229,0.3438,1.159
DOWNTOWN-FULTONFERRY,119.5,178.0,147.0,106.0,0.6681,0.5641,3.7507
DOWNTOWN-METROTECH,119.5,169.0,132.0,149.0,0.6911,0.5934,3.443
BROWNSVILLE,31.5,64.0,72.0,83.0,0.304,0.2637,1.8321
BUSHWICK,57.5,117.0,166.0,153.0,0.5989,0.5186,4.1433
WYCKOFFHEIGHTS,57.5,20.0,44.0,62.0,0.2227,0.2029,1.1366
CANARSIE,167.0,45.0,141.0,90.0,0.5376,0.4827,3.4945
CARROLLGARDENS,173.0,164.0,115.0,121.0,0.6954,0.5995,3.0481
BOERUMHILL,173.0,165.0,123.0,141.0,0.7306,0.6327,3.2553
GOWANUS,173.0,156.0,121.0,110.0,0.6796,0.5856,3.1666
REDHOOK,173.0,155.0,68.0,59.0,0.5522,0.4687,1.8879
HARLEM-CENTRAL,137.0,163.0,184.0,171.0,0.7949,0.6884,4.6709
CHELSEA,9.5,197.0,197.0,180.0,0.7081,0.5943,4.9361
FLATIRON,9.5,201.0,194.0,181.0,0.7106,0.5957,4.8719
MADISON,9.5,73.0,107.0,75.0,0.321,0.2719,2.6258
CHINATOWN,69.0,181.0,136.0,125.0,0.6201,0.5203,3.49
CLINTON,9.5,207.0,179.0,161.0,0.6754,0.5611,4.51
CO-OPCITY,112.0,51.0,6.0,58.0,0.2755,0.2476,0.3192
MELROSE/CONCOURSE,20.5,29.0,109.0,144.0,0.3671,0.3338,2.7112
CONEYISLAND,153.5,57.0,84.0,133.0,0.5188,0.4711,2.2306
CROWNHEIGHTS,123.0,111.0,172.0,160.0,0.6869,0.6035,4.3232
DYKERHEIGHTS,186.0,92.0,92.0,71.0,0.5352,0.4704,2.4011
