,census_tract_nbr,map_nbr,county,neighborhood
0,36001000200,2.0,Albany,Albany
1,36001001100,11.0,Albany,Albany
2,36001002100,21.0,Albany,Albany
3,36001002600,26.0,Albany,Albany
4,36001002500,25.0,Albany,Albany
5,36001002300,23.0,Albany,Albany
6,36021001200,12.0,Columbia,Hudson
7,36021001300,13.0,Columbia,Hudson
8,36039081000,810.0,Greene,Catskill
9,36083051500,515.0,Rensselaer,City of Rensselaer
10,36083040400,404.0,Rensselaer,City of Troy
11,36083040700,407.0,Rensselaer,City of Troy
12,36083040800,408.0,Rensselaer,City of Troy
13,36091060400,604.0,Saratoga,Town/Village of Corinth
14,36093020200,202.0,Schenectady,Schenectady
15,36093021001,210.01,Schenectady,Schenectady
16,36093033500,335.0,Schenectady,Schenectady
17,36113074000,740.0,Warren,Johnsbury/North Creek
18,36113070200,702.0,Warren,Glens Falls
19,36115088000,880.0,Washington,Ft. Edward
20,36067003200,32.0,Onondaga,Syracuse
21,36067003400,34.0,Onondaga,Syracuse
22,36067005200,52.0,Onondaga,Syracuse
23,36067005300,53.0,Onondaga,Syracuse
24,36067000501,5.01,Onondaga,Syracuse
25,36067002300,23.0,Onondaga,Syracuse
26,36067001600,16.0,Onondaga,Syracuse
27,36067003000,30.0,Onondaga,Syracuse
28,36067002101,21.01,Onondaga,Syracuse
29,36067003500,35.0,Onondaga,Syracuse
30,36067004200,42.0,Onondaga,Syracuse
31,36075020301,203.01,Oswego,Pulaski
32,36075021605,216.05,Oswego,Oswego
33,36023970900,9709.0,Cortland,Cortland
34,36067003900,39.0,Onondaga,Syracuse
35,36075020302,203.02,Oswego,Sandy Creek
36,36075021102,211.02,Oswego,Fulton
37,36011041300,413.0,Cayuga,Auburn
38,36067004000,40.0,Onondaga,Syracuse
39,36067005400,54.0,Onondaga,Syracuse
40,36023970600,9706.0,Cortland,Cortland
41,36055000200,2.0,Monroe,Rochester
42,36055000700,7.0,Monroe,Rochester
43,36055001800,18.0,Monroe,Rochester
44,36055001900,19.0,Monroe,Rochester
45,36055004702,47.02,Monroe,Rochester
46,36055005600,56.0,Monroe,Rochester
47,36055005700,57.0,Monroe,Rochester
48,36055005900,59.0,Monroe,Rochester
49,36055009602,96.02,Monroe,Rochester
50,36055006400,64.0,Monroe,Rochester
51,36055006900,69.0,Monroe,Rochester
52,36055008500,85.0,Monroe,Rochester
53,36055009200,92.0,Monroe,Rochester
54,36055009301,93.01,Monroe,Rochester
55,36055009302,93.02,Monroe,Rochester
56,36055009400,94.0,Monroe,Rochester
57,36055009601,96.01,Monroe,Rochester
58,36055009603,96.03,Monroe,Rochester
59,36055010601,106.01,Monroe,Irondequoit
60,36055011400,114.0,Monroe,Webster
61,36117021100,211.0,Wayne,Newark
62,36117021200,212.0,Wayne,Newark
63,36051030900,309.0,Livingston,Mt. Morris
64,36073040700,407.0,Orleans,Albion
65,36069051000,510.0,Ontario,Canandaigua
66,36069051100,511.0,Ontario,Canandaigua
67,36069051800,518.0,Ontario,Geneva
68,36037950600,9506.0,Seneca,Waterloo
69,36099950600,9506.0,Genesee,Batavia
70,36037951000,9510.0,Genesee,Batavia
71,36121970500,9705.0,Wyoming,Warsaw
72,36103122501,1225.01,Suffolk,Town of Babylon - Wyandanch
73,36059406801,4068.01,Nassau,Village of Hempstead
74,36103110902,1109.02,Suffolk,Town of Huntington
75,36059416500,4165.0,Nassau,City of Long Beach
76,36103169800,1698.0,Suffolk,Town of Riverhead
77,36103169704,1697.04,Suffolk,Town of Riverhead - EPCAL
78,36059406802,4068.02,Nassau,Village of Hempstead
79,36059517200,5172.0,Nassau,City of Glen Cove
80,36103146203,1462.03,Suffolk,Town of Islip - Central Slip
81,36103159103,1591.03,Suffolk,Town of Brookhaven - North Bellport
82,36027640002,6400.02,Dutchess,Beacon
83,36027210101,2101.01,Dutchess,Beacon
84,36027221100,2211.0,Dutchess,Poughkeepsie
85,36027220100,2201.0,Dutchess,Poughkeepsie
86,36071000400,4.0,Orange,Newburgh
87,36071000300,3.0,Orange,Newburgh
88,36071015100,151.0,Orange,Middletown
89,36071001500,15.0,Orange,Middletown
90,36071002300,23.0,Orange,Port Jervis
91,36071002200,22.0,Orange,Port Jervis
92,36119000401,4.01,Westchester,Yonkers
93,36119000300,3.0,Westchester,Yonkers
94,36119000600,6.0,Westchester,Yonkers
95,36119981000,9810.0,Westchester,Valhalla
96,36119014300,143.0,Westchester,Peekskill
97,36119984000,9840.0,Westchester,Cortlandt
98,36119005800,58.0,Westchester,New Rochelle
99,36119006100,61.0,Westchester,New Rochelle
100,36119009300,93.0,Westchester,White Plains
101,36119007900,79.0,Westchester,Port Chester
102,36119008000,80.0,Westchester,Port Chester
103,36119003100,31.0,Westchester,Mount Vernon
104,36105951800,9518.0,Sullivan,Monticello
105,36105950700,9507.0,Sullivan,Liberty
106,36105951500,9515.0,Sullivan,Monticello
107,36111954800,9548.0,Ulster,Ellenville
108,36111951700,9517.0,Ulster,Kingston
109,36111952100,9521.0,Ulster,Kingston
110,36111952400,9524.0,Ulster,Kingston
111,36087010703,107.03,Rockland,Haverstraw
112,36087010702,107.02,Rockland,Haverstraw
113,36035970700,9707.0,Fulton,Gloversville
114,36035970800,9708.0,Fulton,Gloversville
115,36035971200,9712.0,Fulton,Johnstown
116,36043010702,107.02,Herkimer,Little Falls
117,36057072600,726.0,Montgomery,Canajoharie
118,36057070900,709.0,Montgomery,Amsterdam
119,36057070200,702.0,Montgomery,Amsterdam
120,36065026400,264.0,Oneida,"East Utica, Oneida St."
121,36065020102,201.02,Oneida,"Utica, along Rt. 5A ""U District"""
122,36065020300,203.0,Oneida,Downtown Utica
123,36065020900,209.0,Oneida,Utica
124,36065026300,263.0,Oneida,Rome
125,36065021900,219.0,Oneida,Rome
126,36065022500,225.0,Oneida,Rome
127,36077591100,5911.0,Otsego,"Oneonta, Along 88"
128,36095740200,7402.0,Schoharie,Cobleskill
129,36095740400,7404.0,Schoharie,Sharon Springs
130,36043011200,112.0,Herkimer,Herkimer
131,36089490100,4901.0,St. Lawrence,Massena
132,36089490200,4902.0,St. Lawrence,Massena
133,36089490300,4903.0,St. Lawrence,Massena
134,36089491400,4914.0,St. Lawrence,Ogdensburg
135,36089491500,4915.0,St. Lawrence,Ogdensburg
136,36089491600,4916.0,St. Lawrence,Ogdensburg
137,36089490900,4909.0,St. Lawrence,Potsdam
138,36019101300,1013.0,Clinton,Plattsburgh
139,36019101600,1016.0,Clinton,Plattsburgh
140,36045061300,613.0,Jefferson,Watertown
141,36045061400,614.0,Jefferson,Watertown
142,36045062100,621.0,Jefferson,Watertown
143,36033950501,9505.01,Franklin,Malone
144,36007013500,135.0,Broome,Village of Endicott
145,36007013400,134.0,Broome,Village of Endicott
146,36007013900,139.0,Broome,Village of Johnson City
147,36007000400,4.0,Broome,City of Binghamton
148,36007000500,5.0,Broome,City of Binghamton
149,36007000200,2.0,Broome,City of Binghamton
150,36015000600,6.0,Chemung,City of Elmira
151,36015000700,7.0,Chemung,City of Elmira
152,36015001000,10.0,Chemung,City of Elmira
